State (Emission order)	h3k4me3	h3k4me1	h3k36me3	h3k27ac	h3k9me3	h3k27me3
1	0.27619039157781455	0.001966096673186506	9.188785010677246E-4	0.0014623931832154849	0.0014344476388430502	0.0028088328438988157
2	0.10705184515078459	0.006512727284191913	0.012603732962583335	3.0535227927589676E-5	0.001512043420169948	0.009812377407236162
3	0.003594554351930763	0.0019067593816994989	0.0024230507939598436	3.6522696116063607E-4	7.18975945617828E-4	0.00211516166815645
4	0.0014052242867416708	7.623139776481589E-5	6.006977425127402E-4	1.095251371041528E-5	5.108903863522664E-4	0.0014689789319374297
5	0.0032956050838337113	4.080525230619522E-4	0.0020806039344968296	1.727173733492732E-5	0.002201383444503462	0.01580575516532963
6	3.816254760779846E-9	2.8811120474070074E-5	8.213855507111674E-6	1.5016002403013448E-12	0.0278937269329812	0.8305194517419902
7	0.0043999030010672254	0.0011069584723835736	0.004447523957486653	1.5706648741878752E-4	0.9671874357561863	0.4733710622424351
8	0.007946593207940377	0.006633404875675396	0.1259492626127206	2.834636849369623E-4	0.0014681887606899774	0.01055120057123332
9	0.02198010786937543	0.019514542099430914	0.04824731127326621	0.0029055774336376686	8.867750916204245E-4	0.0012737850372896442
10	0.13546043970795765	0.2624618904333137	0.23846189138952842	0.12002896549790079	0.06346882863633219	0.09996786838294291
11	0.01208735350680443	0.06280190936568322	0.013827666822110339	0.004439478007549973	0.001039853215999342	0.008780613869447534
12	0.027011295355155517	0.031984920410954604	0.07073389942292184	0.13731925394761982	0.0011968834226533992	9.697033635098979E-4
