12	6	E	-2606621.154798277	200
probinit	1	2.764354243818084E-214
probinit	2	1.1148253171402478E-65
probinit	3	0.9705765550066757
probinit	4	2.0781453525699496E-221
probinit	5	0.0
probinit	6	3.086485123803118E-125
probinit	7	4.466740034356805E-28
probinit	8	8.330118769251107E-36
probinit	9	0.029423444993324253
probinit	10	1.427921583747272E-175
probinit	11	2.070436132119628E-91
probinit	12	2.2756478620213666E-65
transitionprobs	1	1	0.8469601272012999
transitionprobs	1	2	0.0
transitionprobs	1	3	0.004576214784872117
transitionprobs	1	4	0.1236396586849953
transitionprobs	1	5	0.023173612733472657
transitionprobs	1	6	5.8171424350860734E-6
transitionprobs	1	7	9.706480897013699E-5
transitionprobs	1	8	9.607012712373187E-6
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0015298444896011299
transitionprobs	1	12	8.05314164114757E-6
transitionprobs	2	1	0.0
transitionprobs	2	2	0.9896794241580938
transitionprobs	2	3	0.0
transitionprobs	2	4	0.0028581672541340194
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.00536819152296362
transitionprobs	2	8	2.3782578370119945E-5
transitionprobs	2	9	0.001981744245038772
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	8.869024139957907E-5
transitionprobs	3	1	4.4387889032041373E-4
transitionprobs	3	2	0.0
transitionprobs	3	3	0.9943824573065033
transitionprobs	3	4	3.857267939204322E-7
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0026846785347871696
transitionprobs	3	7	1.5761609261238149E-4
transitionprobs	3	8	2.1286037587444536E-5
transitionprobs	3	9	2.1593284568894258E-5
transitionprobs	3	10	0.0
transitionprobs	3	11	0.00222875773811098
transitionprobs	3	12	5.934638871564084E-5
transitionprobs	4	1	0.02944656313540868
transitionprobs	4	2	2.5197497993676007E-4
transitionprobs	4	3	6.122147087912319E-7
transitionprobs	4	4	0.9666795253908252
transitionprobs	4	5	0.0021756919499026557
transitionprobs	4	6	7.094590754339096E-4
transitionprobs	4	7	1.3523660023008677E-7
transitionprobs	4	8	1.1114265952897809E-5
transitionprobs	4	9	2.853782943043871E-8
transitionprobs	4	10	0.0
transitionprobs	4	11	7.105094066504937E-4
transitionprobs	4	12	1.4385806750984775E-5
transitionprobs	5	1	0.6482135774284887
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.2759943985309134
transitionprobs	5	5	0.0749764604646581
transitionprobs	5	6	8.155635759397255E-4
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	6	1	3.4970374426503046E-5
transitionprobs	6	2	0.0
transitionprobs	6	3	0.1604652959326095
transitionprobs	6	4	0.01908038698418737
transitionprobs	6	5	3.368789718456556E-5
transitionprobs	6	6	0.7996726361754459
transitionprobs	6	7	0.006974689382773013
transitionprobs	6	8	5.534272042950209E-6
transitionprobs	6	9	1.2268842724612994E-6
transitionprobs	6	10	0.0
transitionprobs	6	11	0.013661183705579859
transitionprobs	6	12	7.038839147770212E-5
transitionprobs	7	1	1.0612069297075143E-4
transitionprobs	7	2	6.76967854012299E-4
transitionprobs	7	3	4.295305718380524E-4
transitionprobs	7	4	5.70068788287502E-7
transitionprobs	7	5	0.0
transitionprobs	7	6	4.122989110375414E-4
transitionprobs	7	7	0.9709811396111405
transitionprobs	7	8	0.0017679329952357298
transitionprobs	7	9	0.013629849518845058
transitionprobs	7	10	0.007428704484957914
transitionprobs	7	11	3.2076640855246454E-4
transitionprobs	7	12	0.004246118882621427
transitionprobs	8	1	2.4640364335238587E-4
transitionprobs	8	2	0.0012715987472090527
transitionprobs	8	3	0.0019764219766933164
transitionprobs	8	4	2.5346537300225854E-6
transitionprobs	8	5	0.0
transitionprobs	8	6	7.815581203489518E-5
transitionprobs	8	7	0.06458773907755747
transitionprobs	8	8	0.8188605632990076
transitionprobs	8	9	0.10976936092987924
transitionprobs	8	10	0.00305001220717191
transitionprobs	8	11	4.1624871792305494E-7
transitionprobs	8	12	1.5679340464623274E-4
transitionprobs	9	1	0.0
transitionprobs	9	2	8.855038361556099E-4
transitionprobs	9	3	2.4363675762569478E-4
transitionprobs	9	4	2.2831117012015718E-7
transitionprobs	9	5	0.0
transitionprobs	9	6	7.966261765428548E-6
transitionprobs	9	7	0.0415128582185151
transitionprobs	9	8	0.009771224592404332
transitionprobs	9	9	0.9470958951567008
transitionprobs	9	10	2.67614999002674E-4
transitionprobs	9	11	0.0
transitionprobs	9	12	2.150718666601893E-4
transitionprobs	10	1	0.0
transitionprobs	10	2	8.419521101518902E-7
transitionprobs	10	3	1.2586945008771355E-6
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	4.668016888360741E-5
transitionprobs	10	7	0.8568392422642672
transitionprobs	10	8	0.006764557687568869
transitionprobs	10	9	0.015986036426128475
transitionprobs	10	10	0.11659647861530363
transitionprobs	10	11	2.7041771507512713E-5
transitionprobs	10	12	0.0037378624197297082
transitionprobs	11	1	0.006001432826220008
transitionprobs	11	2	0.0
transitionprobs	11	3	0.10997944993511939
transitionprobs	11	4	0.01973671051367502
transitionprobs	11	5	0.0
transitionprobs	11	6	0.013431961648984286
transitionprobs	11	7	0.00518734440669432
transitionprobs	11	8	7.999927659796093E-8
transitionprobs	11	9	0.0
transitionprobs	11	10	1.835958433952508E-6
transitionprobs	11	11	0.8453717371326592
transitionprobs	11	12	2.894475789371218E-4
transitionprobs	12	1	4.183706672658403E-6
transitionprobs	12	2	9.93734329122173E-4
transitionprobs	12	3	0.043231976683989426
transitionprobs	12	4	0.0026601045898019004
transitionprobs	12	5	0.0
transitionprobs	12	6	8.138969728716647E-4
transitionprobs	12	7	0.5000129166972985
transitionprobs	12	8	4.193827315688972E-4
transitionprobs	12	9	0.01954612326401154
transitionprobs	12	10	0.0025199445592055713
transitionprobs	12	11	3.806052991700385E-5
transitionprobs	12	12	0.42975967593554065
emissionprobs	1	0	h3k27ac	0	0.9999401533532468
emissionprobs	1	0	h3k27ac	1	5.9846646753206243E-5
emissionprobs	1	1	h3k27me3	0	0.8975089150697616
emissionprobs	1	1	h3k27me3	1	0.10249108493023831
emissionprobs	1	2	h3k36me3	0	0.9947923217422174
emissionprobs	1	2	h3k36me3	1	0.005207678257782504
emissionprobs	1	3	h3k4me1	0	0.9995539036804338
emissionprobs	1	3	h3k4me1	1	4.460963195661376E-4
emissionprobs	1	4	h3k4me3	0	0.9985447097214201
emissionprobs	1	4	h3k4me3	1	0.0014552902785799782
emissionprobs	1	5	h3k9me3	0	0.997791087668982
emissionprobs	1	5	h3k9me3	1	0.0022089123310180593
emissionprobs	2	0	h3k27ac	0	0.992417538413212
emissionprobs	2	0	h3k27ac	1	0.007582461586788014
emissionprobs	2	1	h3k27me3	0	0.9495265987967894
emissionprobs	2	1	h3k27me3	1	0.05047340120321066
emissionprobs	2	2	h3k36me3	0	0.9914569884418506
emissionprobs	2	2	h3k36me3	1	0.008543011558149446
emissionprobs	2	3	h3k4me1	0	0.9967659535366798
emissionprobs	2	3	h3k4me1	1	0.003234046463320198
emissionprobs	2	4	h3k4me3	0	0.9945619017800451
emissionprobs	2	4	h3k4me3	1	0.005438098219954834
emissionprobs	2	5	h3k9me3	0	0.9861219622499476
emissionprobs	2	5	h3k9me3	1	0.013878037750052405
emissionprobs	3	0	h3k27ac	0	0.9998709620414036
emissionprobs	3	0	h3k27ac	1	1.2903795859643726E-4
emissionprobs	3	1	h3k27me3	0	0.9981858554155866
emissionprobs	3	1	h3k27me3	1	0.0018141445844133794
emissionprobs	3	2	h3k36me3	0	0.9986483291612862
emissionprobs	3	2	h3k36me3	1	0.0013516708387138025
emissionprobs	3	3	h3k4me1	0	0.9997145237932046
emissionprobs	3	3	h3k4me1	1	2.854762067954198E-4
emissionprobs	3	4	h3k4me3	0	0.9992510295805014
emissionprobs	3	4	h3k4me3	1	7.489704194986516E-4
emissionprobs	3	5	h3k9me3	0	0.9975519789609641
emissionprobs	3	5	h3k9me3	1	0.0024480210390358313
emissionprobs	4	0	h3k27ac	0	0.9999356394914061
emissionprobs	4	0	h3k27ac	1	6.436050859397364E-5
emissionprobs	4	1	h3k27me3	0	0.9947242905072867
emissionprobs	4	1	h3k27me3	1	0.005275709492713358
emissionprobs	4	2	h3k36me3	0	0.9970780095820112
