State (Emission order)	h3k27me3	h3k9me3	h3k36me3	h3k4me3	h3k27ac	h3k4me1
1	0.003924530702996064	0.010037077805211573	0.008482217987585104	0.015524834692218461	0.16531939625363634	0.036831616040515165
2	5.512254303555092E-4	0.006044103843846224	0.011688410013250905	0.015627387037734825	0.0854366408186784	0.09610835105724781
3	7.42085193836655E-8	3.840869965439459E-4	0.002673378889708362	0.008479677866431999	7.624727834061355E-4	0.9181992895503807
4	0.0032631355482155102	0.009190161036220224	0.003204500462056146	0.006171457544073509	0.002480270795573082	0.5022973221682052
5	0.0011342798941940968	0.005060006327685784	0.0027321389872521917	0.005880073839616621	0.0015232390030101412	0.006905732793091941
6	5.342876732741701E-4	0.0027982537453117955	8.473409489323993E-4	0.0013758029088784575	6.556749757036675E-5	0.0010023565260919793
7	0.01753506564599377	0.22538846409802074	0.003367574716982173	0.0018809461747662218	2.4467005526327963E-4	0.004740106729657263
8	0.0034411386279348927	0.013970508247277373	0.0014905115821845002	0.0011493702629805623	3.071880965952516E-5	0.0012407623933070589
9	0.14025996670478383	0.03202171401307665	0.0020273220814385293	0.0014048812021392211	6.765025391164014E-5	0.006165437118540578
10	0.1384638551768961	0.005308720501467603	0.0015004734246364508	0.00335083833314258	2.5793292947926016E-4	0.004577426121022767
11	3.3074562797766934E-4	0.01308976299722586	0.49225765836686364	0.00879240793585529	0.001834801142317299	0.02119994313388827
12	5.405962313683921E-4	0.005133793423865905	0.024832677796228317	0.06222829170538733	0.0016296047503225827	0.0028015983016701153
