12	6	E	-2640452.3753276262	200
probinit	1	1.4060759564621017E-190
probinit	2	0.03193809167310023
probinit	3	2.8824950683458274E-82
probinit	4	0.012571969249778736
probinit	5	9.328739536465536E-146
probinit	6	0.9554899390771211
probinit	7	4.421817562201984E-289
probinit	8	2.1465586504129688E-212
probinit	9	0.0
probinit	10	8.826725342037006E-115
probinit	11	2.6768266694807873E-240
probinit	12	5.3419291437920906E-126
transitionprobs	1	1	0.8201307530485586
transitionprobs	1	2	2.1843375584054835E-4
transitionprobs	1	3	2.3037219798980804E-4
transitionprobs	1	4	2.5769446923500647E-4
transitionprobs	1	5	0.1718246693602222
transitionprobs	1	6	0.0015774023639713137
transitionprobs	1	7	4.7273993573535407E-4
transitionprobs	1	8	3.637955799573385E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	6.926515641939153E-4
transitionprobs	1	11	0.0011888035061839747
transitionprobs	1	12	0.003370100240073513
transitionprobs	2	1	2.536948984405856E-5
transitionprobs	2	2	0.9895873271719681
transitionprobs	2	3	0.0011069620358014694
transitionprobs	2	4	1.5632034146234324E-5
transitionprobs	2	5	0.009225430849896769
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	3.927841834342853E-5
transitionprobs	2	12	0.0
transitionprobs	3	1	0.00469492105512364
transitionprobs	3	2	0.00894148526082805
transitionprobs	3	3	1.1480856671524893E-7
transitionprobs	3	4	3.533544923697727E-4
transitionprobs	3	5	0.9730265511096421
transitionprobs	3	6	8.526996056100025E-7
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	1.1820784609836992E-4
transitionprobs	3	11	0.012527599427684421
transitionprobs	3	12	3.3691330008120526E-4
transitionprobs	4	1	0.002178560776808475
transitionprobs	4	2	4.0412559817202843E-4
transitionprobs	4	3	2.89731429079752E-5
transitionprobs	4	4	0.28974308158009904
transitionprobs	4	5	0.6312674819719063
transitionprobs	4	6	0.047802972966165896
transitionprobs	4	7	0.004154628329702709
transitionprobs	4	8	0.015575157952147763
transitionprobs	4	9	0.0
transitionprobs	4	10	0.006569538556984434
transitionprobs	4	11	7.891765857012892E-5
transitionprobs	4	12	0.0021965614665351973
transitionprobs	5	1	0.007668316479722803
transitionprobs	5	2	0.00302267611933263
transitionprobs	5	3	0.008882132043344192
transitionprobs	5	4	0.034256412177461136
transitionprobs	5	5	0.9404614097763425
transitionprobs	5	6	1.3319847207912042E-5
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	3.541882636557047E-4
