12	6	E	-1891841.0210712594	200
probinit	1	1.140562865824235E-218
probinit	2	0.9616666827078939
probinit	3	0.0
probinit	4	4.509047694261784E-155
probinit	5	3.716624602344525E-61
probinit	6	6.193244393302134E-131
probinit	7	0.03833191549175734
probinit	8	1.9420582045961775E-166
probinit	9	3.8863975384023215E-35
probinit	10	9.221654230895617E-73
probinit	11	1.4018003487934834E-6
probinit	12	5.90540263477997E-81
transitionprobs	1	1	0.9646901399102632
transitionprobs	1	2	0.0018251122759836084
transitionprobs	1	3	0.010843768670471042
transitionprobs	1	4	0.02162281175075917
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	8.760921700636938E-4
transitionprobs	1	11	0.0
transitionprobs	1	12	1.420752224593359E-4
transitionprobs	2	1	4.913231544934075E-4
transitionprobs	2	2	0.9986787018186758
transitionprobs	2	3	0.0
transitionprobs	2	4	4.556140705178471E-4
transitionprobs	2	5	2.5651668975895767E-4
transitionprobs	2	6	1.0808745688009267E-5
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	8.511491091420053E-5
transitionprobs	2	11	0.0
transitionprobs	2	12	2.192060995186361E-5
transitionprobs	3	1	0.8678320322725922
transitionprobs	3	2	0.0
transitionprobs	3	3	0.04639475094399227
transitionprobs	3	4	0.08480705101450185
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	7.164340350219049E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	2.4973173389161013E-4
transitionprobs	4	1	0.016198994185714348
transitionprobs	4	2	0.0011273253734541647
transitionprobs	4	3	8.893929901354063E-4
transitionprobs	4	4	0.9817185631564683
transitionprobs	4	5	0.0
transitionprobs	4	6	6.57242942276495E-5
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	8.197751523503654E-4
transitionprobs	5	3	0.0
transitionprobs	5	4	0.0
transitionprobs	5	5	0.9861364008836225
transitionprobs	5	6	7.549004782491972E-4
transitionprobs	5	7	6.847849840656647E-5
transitionprobs	5	8	4.7620692133021265E-8
transitionprobs	5	9	5.504448731499668E-5
transitionprobs	5	10	0.010764726526323274
transitionprobs	5	11	9.999569082537826E-5
transitionprobs	5	12	0.0013006306622157535
transitionprobs	6	1	0.0
transitionprobs	6	2	1.5249778348576024E-4
transitionprobs	6	3	0.0
transitionprobs	6	4	3.4095426047025986E-4
transitionprobs	6	5	0.0036133095170935727
transitionprobs	6	6	0.9842769033581644
transitionprobs	6	7	2.498652052712426E-4
transitionprobs	6	8	0.006246328250051522
transitionprobs	6	9	0.0015440641027214762
transitionprobs	6	10	9.17322489140804E-5
