12	6	E	-1739235.463653863	200
probinit	1	1.860569086283286E-184
probinit	2	1.8903665838837922E-228
probinit	3	0.9629353975886693
probinit	4	1.2988811213419527E-91
probinit	5	2.3322095680395453E-181
probinit	6	6.648316611267311E-166
probinit	7	6.04469931000369E-105
probinit	8	2.423575570548887E-6
probinit	9	0.037062178835760226
probinit	10	1.1090669981686104E-92
probinit	11	1.6811876250445054E-28
probinit	12	1.2245314414085114E-119
transitionprobs	1	1	0.9812320573738778
transitionprobs	1	2	0.0
transitionprobs	1	3	0.009973661915384765
transitionprobs	1	4	0.0028670943465801593
transitionprobs	1	5	5.82929651702208E-6
transitionprobs	1	6	0.004370277158040172
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0014921694825875606
transitionprobs	1	11	0.0
transitionprobs	1	12	5.8910427012618736E-5
transitionprobs	2	1	0.0
transitionprobs	2	2	0.9650391696111658
transitionprobs	2	3	8.64610029597289E-7
transitionprobs	2	4	0.03489466048731021
transitionprobs	2	5	3.94670620262422E-5
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	2.583822946811792E-5
transitionprobs	3	1	6.407827022424804E-4
transitionprobs	3	2	0.0
transitionprobs	3	3	0.9984378385175103
transitionprobs	3	4	4.5294182808792923E-4
transitionprobs	3	5	2.240549303626612E-4
transitionprobs	3	6	1.0540775657921027E-4
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	1.0890440165673397E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	3.0069863560747023E-5
transitionprobs	4	1	0.0
transitionprobs	4	2	0.010634290972101348
transitionprobs	4	3	0.0014496047230630159
transitionprobs	4	4	0.969178051141462
transitionprobs	4	5	0.01846965004032305
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	2.3490408622111402E-4
transitionprobs	4	11	0.0
transitionprobs	4	12	3.3499036829523994E-5
transitionprobs	5	1	0.0
transitionprobs	5	2	5.300678774432442E-4
transitionprobs	5	3	0.00806228244527643
transitionprobs	5	4	0.32820421385155935
transitionprobs	5	5	0.6624848231296386
transitionprobs	5	6	0.0
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
