12	6	E	-1541933.4231888896	200
probinit	1	1.0278074752805046E-45
probinit	2	8.716640049284214E-116
probinit	3	0.03691336368719594
probinit	4	1.4419244440409155E-68
probinit	5	1.4359165840345434E-12
probinit	6	1.8416458943288294E-133
probinit	7	5.0607035286580935E-17
probinit	8	3.0856277126343615E-34
probinit	9	4.9238501172769E-124
probinit	10	0.9630866363113681
probinit	11	1.9451675134863064E-127
probinit	12	9.461428482928982E-244
transitionprobs	1	1	0.8713869341094471
transitionprobs	1	2	0.01759408341671248
transitionprobs	1	3	0.029098851367483657
transitionprobs	1	4	3.1645694506592467E-4
transitionprobs	1	5	0.0026848692574731243
transitionprobs	1	6	0.007527271366075962
transitionprobs	1	7	0.04580101810244138
transitionprobs	1	8	0.023187578585689227
transitionprobs	1	9	1.0896532027973018E-4
transitionprobs	1	10	0.0019957766282698167
transitionprobs	1	11	0.0
transitionprobs	1	12	2.9819490106150763E-4
transitionprobs	2	1	0.021383555955092823
transitionprobs	2	2	0.9076869216639556
transitionprobs	2	3	0.0703090623906664
transitionprobs	2	4	5.815801290803121E-4
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	3.8879861204863206E-5
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.008357882879176392
transitionprobs	3	2	0.018116081365159912
transitionprobs	3	3	0.9404086215806337
transitionprobs	3	4	0.03176246350905636
transitionprobs	3	5	9.138027383412947E-6
transitionprobs	3	6	3.139793412532016E-4
transitionprobs	3	7	0.0010318332973371406
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	7.404354006233773E-5
transitionprobs	4	2	0.0013273122085688176
transitionprobs	4	3	0.07959530649266536
transitionprobs	4	4	0.8666980440085309
transitionprobs	4	5	0.0012776379024668555
transitionprobs	4	6	0.010557943819169996
transitionprobs	4	7	0.040437382040351716
transitionprobs	4	8	3.232998818393663E-5
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	5	1	0.00342564782379996
transitionprobs	5	2	0.0
transitionprobs	5	3	1.2560929102710261E-5
transitionprobs	5	4	7.859479894251467E-4
transitionprobs	5	5	0.8829065452318098
transitionprobs	5	6	2.8958677667516713E-8
transitionprobs	5	7	0.01047882570125163
transitionprobs	5	8	0.10012450293922598
transitionprobs	5	9	8.265213291153655E-5
transitionprobs	5	10	0.0021832882937955923
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	6	1	0.003579673343733215
transitionprobs	6	2	0.0
transitionprobs	6	3	0.01353899024886409
transitionprobs	6	4	0.016477612601925037
transitionprobs	6	5	5.1016377954152317E-8
transitionprobs	6	6	0.939429471765775
transitionprobs	6	7	0.026973934051847653
transitionprobs	6	8	2.669714771847978E-7
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	0.0
transitionprobs	7	1	0.005625195429477769
transitionprobs	7	2	2.4179482314596702E-5
transitionprobs	7	3	4.392667208432626E-4
transitionprobs	7	4	0.006746374120648654
transitionprobs	7	5	0.0016276753692098284
transitionprobs	7	6	0.0019729564551311685
transitionprobs	7	7	0.9820723902397434
transitionprobs	7	8	0.0014919621826312989
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.0
transitionprobs	8	1	0.0011282035723536089
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0
transitionprobs	8	4	3.6160873460700475E-7
transitionprobs	8	5	0.006320306749646116
transitionprobs	8	6	0.0
transitionprobs	8	7	5.948917994550027E-4
transitionprobs	8	8	0.9889393024938531
transitionprobs	8	9	0.0029905626793719224
transitionprobs	8	10	2.6371096585541067E-5
transitionprobs	8	11	0.0
transitionprobs	8	12	0.0
transitionprobs	9	1	2.9542457408728E-5
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	2.9167457680394992E-6
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	0.08217166371239554
transitionprobs	9	9	0.8627309581063513
transitionprobs	9	10	0.03329645104991612
transitionprobs	9	11	0.021768467928160163
transitionprobs	9	12	0.0
transitionprobs	10	1	2.8891161264458718E-5
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	7.314802469077182E-5
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	1.3274192226255733E-5
transitionprobs	10	9	4.230169831188677E-4
transitionprobs	10	10	0.9991242304755978
transitionprobs	10	11	3.354769104165127E-4
transitionprobs	10	12	1.9622526853388767E-6
transitionprobs	11	1	8.121610203216214E-6
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	2.2357024191001188E-5
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0
transitionprobs	11	9	4.792786824122407E-4
transitionprobs	11	10	6.708914784847653E-4
transitionprobs	11	11	0.9966474703519341
transitionprobs	11	12	0.002171880852774755
transitionprobs	12	1	9.577487451039562E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.007665619512095215
transitionprobs	12	9	0.0
transitionprobs	12	10	0.007219172295578932
transitionprobs	12	11	0.914301172443594
transitionprobs	12	12	0.06985628700362788
emissionprobs	1	0	h3k27ac	0	0.9922977302415861
emissionprobs	1	0	h3k27ac	1	0.0077022697584139856
emissionprobs	1	1	h3k27me3	0	0.9997391362914286
emissionprobs	1	1	h3k27me3	1	2.608637085713646E-4
emissionprobs	1	2	h3k36me3	0	0.9679721597908905
emissionprobs	1	2	h3k36me3	1	0.032027840209109454
emissionprobs	1	3	h3k4me1	0	0.9929599323938051
emissionprobs	1	3	h3k4me1	1	0.007040067606194942
emissionprobs	1	4	h3k4me3	0	0.7647059023539244
emissionprobs	1	4	h3k4me3	1	0.2352940976460756
emissionprobs	1	5	h3k9me3	0	0.9952186420607639
emissionprobs	1	5	h3k9me3	1	0.004781357939236123
emissionprobs	2	0	h3k27ac	0	0.9682263410764421
emissionprobs	2	0	h3k27ac	1	0.03177365892355787
emissionprobs	2	1	h3k27me3	0	0.9992660060116993
emissionprobs	2	1	h3k27me3	1	7.339939883006334E-4
emissionprobs	2	2	h3k36me3	0	0.9468134139136742
emissionprobs	2	2	h3k36me3	1	0.05318658608632574
emissionprobs	2	3	h3k4me1	0	0.7637239444799894
emissionprobs	2	3	h3k4me1	1	0.23627605552001057
emissionprobs	2	4	h3k4me3	0	0.8919008664508139
emissionprobs	2	4	h3k4me3	1	0.10809913354918613
emissionprobs	2	5	h3k9me3	0	0.9974585948587203
emissionprobs	2	5	h3k9me3	1	0.002541405141279641
emissionprobs	3	0	h3k27ac	0	0.9976642597897316
emissionprobs	3	0	h3k27ac	1	0.0023357402102684066
emissionprobs	3	1	h3k27me3	0	0.9998726773168722
emissionprobs	3	1	h3k27me3	1	1.2732268312784514E-4
emissionprobs	3	2	h3k36me3	0	0.9814879314202157
emissionprobs	3	2	h3k36me3	1	0.01851206857978434
emissionprobs	3	3	h3k4me1	0	0.9423919277054061
emissionprobs	3	3	h3k4me1	1	0.05760807229459384
emissionprobs	3	4	h3k4me3	0	0.9952446163960121
emissionprobs	3	4	h3k4me3	1	0.004755383603987888
emissionprobs	3	5	h3k9me3	0	0.9989295578415512
emissionprobs	3	5	h3k9me3	1	0.0010704421584487008
emissionprobs	4	0	h3k27ac	0	0.9942149920496928
emissionprobs	4	0	h3k27ac	1	0.005785007950307203
emissionprobs	4	1	h3k27me3	0	0.9999999935390573
emissionprobs	4	1	h3k27me3	1	6.460942622522406E-9
emissionprobs	4	2	h3k36me3	0	0.962160349916345
emissionprobs	4	2	h3k36me3	1	0.037839650083654953
emissionprobs	4	3	h3k4me1	0	0.7017895816047106
emissionprobs	4	3	h3k4me1	1	0.2982104183952893
emissionprobs	4	4	h3k4me3	0	0.9985546177300398
emissionprobs	4	4	h3k4me3	1	0.0014453822699602168
emissionprobs	4	5	h3k9me3	0	0.9991540832120072
emissionprobs	4	5	h3k9me3	1	8.459167879927539E-4
emissionprobs	5	0	h3k27ac	0	0.9969591138900072
emissionprobs	5	0	h3k27ac	1	0.0030408861099928035
emissionprobs	5	1	h3k27me3	0	0.9992610971389805
emissionprobs	5	1	h3k27me3	1	7.389028610195351E-4
emissionprobs	5	2	h3k36me3	0	0.9925779705244286
emissionprobs	5	2	h3k36me3	1	0.007422029475571411
emissionprobs	5	3	h3k4me1	0	0.8644315819848881
emissionprobs	5	3	h3k4me1	1	0.1355684180151119
emissionprobs	5	4	h3k4me3	0	0.9985084404038885
emissionprobs	5	4	h3k4me3	1	0.0014915595961114965
emissionprobs	5	5	h3k9me3	0	0.9981380203752975
emissionprobs	5	5	h3k9me3	1	0.001861979624702362
emissionprobs	6	0	h3k27ac	0	0.9961751861105039
emissionprobs	6	0	h3k27ac	1	0.0038248138894960795
emissionprobs	6	1	h3k27me3	0	0.9998937597842817
emissionprobs	6	1	h3k27me3	1	1.0624021571827512E-4
emissionprobs	6	2	h3k36me3	0	0.8621586664965895
emissionprobs	6	2	h3k36me3	1	0.13784133350341055
emissionprobs	6	3	h3k4me1	0	0.9482415075730117
emissionprobs	6	3	h3k4me1	1	0.051758492426988295
emissionprobs	6	4	h3k4me3	0	0.9873650852060302
emissionprobs	6	4	h3k4me3	1	0.012634914793969838
emissionprobs	6	5	h3k9me3	0	0.9990720184529585
emissionprobs	6	5	h3k9me3	1	9.279815470414766E-4
emissionprobs	7	0	h3k27ac	0	0.9998116731806119
emissionprobs	7	0	h3k27ac	1	1.8832681938802284E-4
emissionprobs	7	1	h3k27me3	0	0.9999479098591998
emissionprobs	7	1	h3k27me3	1	5.2090140800266714E-5
emissionprobs	7	2	h3k36me3	0	0.9613493935220553
emissionprobs	7	2	h3k36me3	1	0.038650606477944785
emissionprobs	7	3	h3k4me1	0	0.9977297582510721
emissionprobs	7	3	h3k4me1	1	0.002270241748927884
emissionprobs	7	4	h3k4me3	0	0.9988871827869941
emissionprobs	7	4	h3k4me3	1	0.0011128172130059713
emissionprobs	7	5	h3k9me3	0	0.9995065417689213
emissionprobs	7	5	h3k9me3	1	4.934582310787066E-4
emissionprobs	8	0	h3k27ac	0	0.9999248593684239
emissionprobs	8	0	h3k27ac	1	7.514063157612148E-5
emissionprobs	8	1	h3k27me3	0	0.9994279860005482
