12	6	E	-2351435.3322210093	200
probinit	1	0.029718098895359774
probinit	2	4.425994505563483E-115
probinit	3	1.4738782495114843E-185
probinit	4	3.9234660407751136E-176
probinit	5	9.250048813873887E-225
probinit	6	2.643356457011852E-106
probinit	7	0.9702819011046402
probinit	8	1.369776132219709E-125
probinit	9	0.0
probinit	10	2.4279128542314404E-129
probinit	11	6.171494873926212E-77
probinit	12	3.0197151244413106E-118
transitionprobs	1	1	0.9448934290975695
transitionprobs	1	2	0.002845306726887158
transitionprobs	1	3	0.0022391615604387856
transitionprobs	1	4	0.007167024572183951
transitionprobs	1	5	0.0
transitionprobs	1	6	0.03602421056128571
transitionprobs	1	7	6.705763660785465E-5
transitionprobs	1	8	2.7068169418620726E-4
transitionprobs	1	9	1.437569667859751E-4
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.006349371184054966
transitionprobs	2	1	0.009963581847007215
transitionprobs	2	2	0.9410426308555574
transitionprobs	2	3	0.02347438091443288
transitionprobs	2	4	5.682086760068413E-6
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	4.07149982910589E-7
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.025513317146259606
transitionprobs	3	1	0.0035958616236862243
transitionprobs	3	2	0.01175531528148387
transitionprobs	3	3	0.9368457566844806
transitionprobs	3	4	0.044277185051603156
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.003525881358746246
transitionprobs	4	1	0.003691727751139244
transitionprobs	4	2	3.2807381174723214E-5
transitionprobs	4	3	0.014557764452946933
transitionprobs	4	4	0.9743441813169488
transitionprobs	4	5	5.0810725385463586E-5
transitionprobs	4	6	0.002015774549556388
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0053069338228483275
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.004294004082767321
transitionprobs	5	5	0.5043359828796015
transitionprobs	5	6	0.42713413046593895
transitionprobs	5	7	0.05033630726059614
transitionprobs	5	8	0.009335713347824804
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0044176206376636
transitionprobs	5	11	1.4624132560750753E-4
transitionprobs	5	12	0.0
transitionprobs	6	1	0.006669023037300692
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	6.356826741686558E-4
transitionprobs	6	5	0.007498279695404828
transitionprobs	6	6	0.9833994572801417
transitionprobs	6	7	4.225637182354768E-4
transitionprobs	6	8	5.0574532547413564E-5
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	4.273785861622767E-4
transitionprobs	6	12	8.970404760387423E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	2.75995723333693E-4
transitionprobs	7	6	1.5924930284858638E-4
transitionprobs	7	7	0.9961789304509989
transitionprobs	7	8	2.716087857624328E-4
transitionprobs	7	9	0.0
transitionprobs	7	10	1.0962671406504217E-4
transitionprobs	7	11	0.0029946123507214196
transitionprobs	7	12	9.976672269877933E-6
transitionprobs	8	1	5.59003204232798E-4
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0
transitionprobs	8	7	0.004833408426293581
transitionprobs	8	8	0.7865692271082898
transitionprobs	8	9	0.017724555475332728
transitionprobs	8	10	0.19023177873453032
transitionprobs	8	11	8.202705132060314E-5
transitionprobs	8	12	0.0
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	0.2820839212911214
transitionprobs	9	9	0.11821773969914909
transitionprobs	9	10	0.5994096623939594
transitionprobs	9	11	0.0
transitionprobs	9	12	2.886766157699326E-4
transitionprobs	10	1	4.965753917536073E-6
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	2.1806251488880522E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	2.7922577903646725E-4
transitionprobs	10	8	0.025483484260092927
transitionprobs	10	9	0.005457224795261122
transitionprobs	10	10	0.96831867334487
transitionprobs	10	11	2.3567906932105297E-4
