plate	oligodT_barcode	sampleName	group	stage
plate1	1	CP23003342.plate1.smRNA_combined_cell1	non-targeting	8C
plate1	2	CP23003342.plate1.smRNA_combined_cell2	non-targeting	8C
plate1	3	CP23003342.plate1.smRNA_combined_cell3	non-targeting	8C
plate1	4	CP23003342.plate1.smRNA_combined_cell4	non-targeting	8C
plate1	5	CP23003342.plate1.smRNA_combined_cell5	non-targeting	8C
plate1	6	CP23003342.plate1.smRNA_combined_cell6	non-targeting	8C
plate1	7	CP23003342.plate1.smRNA_combined_cell7	non-targeting	8C
plate1	8	CP23003342.plate1.smRNA_combined_cell8	non-targeting	8C
plate1	10	CP23003342.plate1.smRNA_combined_cell10	non-targeting	8C
plate1	11	CP23003342.plate1.smRNA_combined_cell11	non-targeting	8C
plate1	12	CP23003342.plate1.smRNA_combined_cell12	non-targeting	8C
plate1	13	CP23003342.plate1.smRNA_combined_cell13	non-targeting	8C
plate1	14	CP23003342.plate1.smRNA_combined_cell14	non-targeting	8C
plate1	15	CP23003342.plate1.smRNA_combined_cell15	non-targeting	8C
plate1	16	CP23003342.plate1.smRNA_combined_cell16	non-targeting	8C
plate1	17	CP23003342.plate1.smRNA_combined_cell17	non-targeting	8C
plate1	18	CP23003342.plate1.smRNA_combined_cell18	non-targeting	8C
plate1	19	CP23003342.plate1.smRNA_combined_cell19	non-targeting	8C
plate1	20	CP23003342.plate1.smRNA_combined_cell20	non-targeting	8C
plate1	21	CP23003342.plate1.smRNA_combined_cell21	CDX2	8C
plate1	22	CP23003342.plate1.smRNA_combined_cell22	CDX2	8C
plate1	23	CP23003342.plate1.smRNA_combined_cell23	CDX2	8C
plate1	24	CP23003342.plate1.smRNA_combined_cell24	CDX2	8C
plate1	25	CP23003342.plate1.smRNA_combined_cell25	CDX2	8C
plate1	26	CP23003342.plate1.smRNA_combined_cell26	CDX2	8C
plate1	27	CP23003342.plate1.smRNA_combined_cell27	CDX2	8C
plate1	28	CP23003342.plate1.smRNA_combined_cell28	CDX2	8C
plate1	29	CP23003342.plate1.smRNA_combined_cell29	CDX2	8C
plate1	30	CP23003342.plate1.smRNA_combined_cell30	CDX2	8C
plate1	31	CP23003342.plate1.smRNA_combined_cell31	CDX2	8C
plate1	42	CP23003342.plate1.smRNA_combined_cell42	ZFX	8C
plate1	43	CP23003342.plate1.smRNA_combined_cell43	ZFX	8C
plate1	44	CP23003342.plate1.smRNA_combined_cell44	ZFX	8C
plate1	45	CP23003342.plate1.smRNA_combined_cell45	ZFX	8C
plate1	47	CP23003342.plate1.smRNA_combined_cell47	ZFX	8C
plate1	49	CP23003342.plate1.smRNA_combined_cell49	ZFX	8C
plate1	50	CP23003342.plate1.smRNA_combined_cell50	ZFX	8C
plate1	51	CP23003342.plate1.smRNA_combined_cell51	ZFX	8C
plate1	52	CP23003342.plate1.smRNA_combined_cell52	ZFX	8C
plate1	53	CP23003342.plate1.smRNA_combined_cell53	ZFX	8C
plate1	54	CP23003342.plate1.smRNA_combined_cell54	ZFX	8C
plate1	57	CP23003342.plate1.smRNA_combined_cell57	ZFX	8C
plate1	58	CP23003342.plate1.smRNA_combined_cell58	ZFX	8C
plate1	59	CP23003342.plate1.smRNA_combined_cell59	ZFX	8C
plate1	63	CP23003342.plate1.smRNA_combined_cell63	NANOG	8C
plate1	64	CP23003342.plate1.smRNA_combined_cell64	NANOG	8C
plate1	65	CP23003342.plate1.smRNA_combined_cell65	NANOG	8C
plate1	66	CP23003342.plate1.smRNA_combined_cell66	NANOG	8C
plate1	67	CP23003342.plate1.smRNA_combined_cell67	NANOG	8C
plate1	68	CP23003342.plate1.smRNA_combined_cell68	NANOG	8C
plate1	69	CP23003342.plate1.smRNA_combined_cell69	NANOG	8C
plate1	70	CP23003342.plate1.smRNA_combined_cell70	NANOG	8C
plate1	71	CP23003342.plate1.smRNA_combined_cell71	NANOG	8C
plate1	72	CP23003342.plate1.smRNA_combined_cell72	NANOG	8C
plate1	73	CP23003342.plate1.smRNA_combined_cell73	NANOG	8C
plate1	74	CP23003342.plate1.smRNA_combined_cell74	NANOG	8C
plate1	75	CP23003342.plate1.smRNA_combined_cell75	NANOG	8C
plate1	77	CP23003342.plate1.smRNA_combined_cell77	NANOG	8C
plate1	78	CP23003342.plate1.smRNA_combined_cell78	NANOG	8C
plate1	79	CP23003342.plate1.smRNA_combined_cell79	NANOG	8C
plate1	80	CP23003342.plate1.smRNA_combined_cell80	NANOG	8C
plate1	81	CP23003342.plate1.smRNA_combined_cell81	NANOG	8C
plate1	82	CP23003342.plate1.smRNA_combined_cell82	NANOG	8C
plate1	83	CP23003342.plate1.smRNA_combined_cell83	NANOG	8C
plate1	84	CP23003342.plate1.smRNA_combined_cell84	BBX	8C
plate1	85	CP23003342.plate1.smRNA_combined_cell85	BBX	8C
plate1	87	CP23003342.plate1.smRNA_combined_cell87	BBX	8C
plate1	88	CP23003342.plate1.smRNA_combined_cell88	BBX	8C
plate1	89	CP23003342.plate1.smRNA_combined_cell89	BBX	8C
plate1	90	CP23003342.plate1.smRNA_combined_cell90	BBX	8C
plate1	91	CP23003342.plate1.smRNA_combined_cell91	BBX	8C
