12	6	E	-2869701.0750523657	200
probinit	1	6.515664477574135E-158
probinit	2	2.7058771619176388E-101
probinit	3	0.9611774724948626
probinit	4	3.478502739280295E-238
probinit	5	3.074787904843226E-105
probinit	6	0.0
probinit	7	0.0
probinit	8	1.353280023238406E-274
probinit	9	0.0
probinit	10	4.424200366280544E-51
probinit	11	9.436218084935737E-141
probinit	12	0.038822527505137455
transitionprobs	1	1	0.8323360109335788
transitionprobs	1	2	0.008897697559835679
transitionprobs	1	3	7.620003021485389E-8
transitionprobs	1	4	0.0013634194543545187
transitionprobs	1	5	0.002889312759133682
transitionprobs	1	6	9.303117493814974E-4
transitionprobs	1	7	0.0
transitionprobs	1	8	0.002383939133312236
transitionprobs	1	9	7.935270922390944E-4
transitionprobs	1	10	0.13211235298979573
transitionprobs	1	11	0.012252472783271172
transitionprobs	1	12	0.00604087934506726
transitionprobs	2	1	4.95523911314765E-4
transitionprobs	2	2	0.9957101308972942
transitionprobs	2	3	3.3979520084115945E-4
transitionprobs	2	4	3.5744305882752938E-6
transitionprobs	2	5	0.0
transitionprobs	2	6	9.725948093326039E-4
transitionprobs	2	7	6.274689564474133E-5
transitionprobs	2	8	2.0437033524607085E-7
transitionprobs	2	9	4.458490519735552E-7
transitionprobs	2	10	0.002156221846277962
transitionprobs	2	11	2.587617893190067E-4
transitionprobs	2	12	0.0
transitionprobs	3	1	4.344591876175196E-8
transitionprobs	3	2	3.7442857169882554E-4
transitionprobs	3	3	0.9985112348053367
transitionprobs	3	4	2.8516643065999584E-4
transitionprobs	3	5	0.0
transitionprobs	3	6	7.185856263250916E-4
transitionprobs	3	7	8.382459528841642E-5
transitionprobs	3	8	1.3690871460219962E-8
transitionprobs	3	9	0.0
transitionprobs	3	10	6.779883132914366E-8
transitionprobs	3	11	1.9043566527889656E-7
transitionprobs	3	12	2.64445994042038E-5
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	3.627770105424729E-4
transitionprobs	4	4	0.9707844622496217
transitionprobs	4	5	1.1211101174833023E-4
transitionprobs	4	6	0.024477113151995807
transitionprobs	4	7	0.004263203374377448
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	3.3320171429728883E-7
transitionprobs	5	1	0.0012389028546927337
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.0
transitionprobs	5	5	0.9957252582653404
transitionprobs	5	6	0.0
transitionprobs	5	7	0.0
transitionprobs	5	8	1.0273970612570572E-4
transitionprobs	5	9	4.508994624292433E-5
transitionprobs	5	10	0.002166132483826899
transitionprobs	5	11	4.0058336393893735E-4
transitionprobs	5	12	3.212933798324128E-4
transitionprobs	6	1	0.0
transitionprobs	6	2	0.029825460513812435
transitionprobs	6	3	0.020186637369902134
transitionprobs	6	4	0.8802411796531887
transitionprobs	6	5	0.0
transitionprobs	6	6	0.06428242443490417
transitionprobs	6	7	0.005317736729211911
transitionprobs	6	8	6.443373899465423E-5
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	8.212755998599783E-5
transitionprobs	6	12	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.011914591073822152
transitionprobs	7	3	0.015573140106898692
transitionprobs	7	4	0.889475921896715
transitionprobs	7	5	0.0
transitionprobs	7	6	0.03365688898363362
transitionprobs	7	7	0.04730143185992375
transitionprobs	7	8	0.0
transitionprobs	7	9	0.0
transitionprobs	7	10	6.458136028093417E-4
transitionprobs	7	11	7.563633684149221E-4
transitionprobs	7	12	6.758491077826093E-4
transitionprobs	8	1	0.017825795036891846
transitionprobs	8	2	5.2764392708821054E-5
transitionprobs	8	3	1.0197895315093037E-5
transitionprobs	8	4	1.9636025108483434E-6
transitionprobs	8	5	4.2033851738345035E-4
transitionprobs	8	6	2.159010007002496E-5
transitionprobs	8	7	0.0
transitionprobs	8	8	0.07924440651080686
transitionprobs	8	9	0.003563893019221422
transitionprobs	8	10	0.7679174846405062
transitionprobs	8	11	0.13085687061687248
transitionprobs	8	12	8.469566771281935E-5
transitionprobs	9	1	0.01726021482884494
transitionprobs	9	2	8.294883246725536E-8
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0019362377413698808
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	0.02742004409958524
transitionprobs	9	9	0.006728354293758715
transitionprobs	9	10	0.496400317857466
transitionprobs	9	11	0.2815157870841881
transitionprobs	9	12	0.16873896114595452
transitionprobs	10	1	0.008913109095884404
transitionprobs	10	2	0.005744364050240215
transitionprobs	10	3	1.0275537580891716E-7
transitionprobs	10	4	0.0
transitionprobs	10	5	4.724301228599188E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	3.233867014960203E-5
transitionprobs	10	8	0.00965625544803368
transitionprobs	10	9	8.857977621455068E-4
