12	6	E	-2019796.0264026641	200
probinit	1	3.7406753896368005E-75
probinit	2	0.03334915479838361
probinit	3	0.0
probinit	4	1.999433471491991E-135
probinit	5	0.9666508452016164
probinit	6	6.10898846573775E-153
probinit	7	7.987575031359602E-21
probinit	8	1.3764625060058317E-174
probinit	9	7.80990453743745E-99
probinit	10	6.494066927457029E-109
probinit	11	6.016288689632653E-172
probinit	12	1.668108592315488E-78
transitionprobs	1	1	0.8510855590909735
transitionprobs	1	2	0.0
transitionprobs	1	3	5.058149983943566E-6
transitionprobs	1	4	0.0057300116701936256
transitionprobs	1	5	0.11588775063162406
transitionprobs	1	6	0.0011153218640129877
transitionprobs	1	7	0.02507314350178194
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0011007022999876394
transitionprobs	1	11	0.0
transitionprobs	1	12	2.452791442224325E-6
transitionprobs	2	1	1.6939433854194737E-7
transitionprobs	2	2	0.9883668456697988
transitionprobs	2	3	0.0
transitionprobs	2	4	0.006186088327471669
transitionprobs	2	5	4.447577577839522E-6
transitionprobs	2	6	2.3512985825557877E-7
transitionprobs	2	7	0.004201946104311137
transitionprobs	2	8	2.041490256704479E-5
transitionprobs	2	9	1.842328573169945E-6
transitionprobs	2	10	1.0743289064004649E-4
transitionprobs	2	11	1.7813538684327497E-4
transitionprobs	2	12	9.324422880201014E-4
transitionprobs	3	1	5.567877221012614E-4
transitionprobs	3	2	0.0
transitionprobs	3	3	0.30609703853953407
transitionprobs	3	4	0.6538393341534883
transitionprobs	3	5	5.6059233571758756E-5
transitionprobs	3	6	0.039450780351304574
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	1.2271680967651158E-4
transitionprobs	4	2	7.89778833041916E-4
transitionprobs	4	3	0.017665374207593714
transitionprobs	4	4	0.9665041419820282
transitionprobs	4	5	9.101744611337655E-4
transitionprobs	4	6	0.013839358571868885
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	1.6712955489172235E-4
transitionprobs	4	11	0.0
transitionprobs	4	12	1.3255797653827528E-6
transitionprobs	5	1	9.525946027860348E-4
transitionprobs	5	2	3.771240480312249E-7
transitionprobs	5	3	4.171942778465474E-7
transitionprobs	5	4	4.094604382238388E-4
transitionprobs	5	5	0.9975192802989596
transitionprobs	5	6	5.454664518214241E-4
transitionprobs	5	7	1.869529001465419E-5
transitionprobs	5	8	0.0
transitionprobs	5	9	1.840426804871741E-8
transitionprobs	5	10	5.01315395126126E-4
transitionprobs	5	11	0.0
transitionprobs	5	12	5.237480047450409E-5
transitionprobs	6	1	3.400149497724539E-5
transitionprobs	6	2	0.0
transitionprobs	6	3	0.009804270587128667
transitionprobs	6	4	0.1452244923735054
transitionprobs	6	5	0.011448198262677355
transitionprobs	6	6	0.83344810046829
transitionprobs	6	7	0.0
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0
transitionprobs	6	10	1.2598396642215133E-5
transitionprobs	6	11	8.234792249142137E-8
transitionprobs	6	12	2.8256068856712346E-5
transitionprobs	7	1	5.800035179147603E-4
transitionprobs	7	2	7.981568238562941E-4
transitionprobs	7	3	0.0
transitionprobs	7	4	1.087873939623967E-6
transitionprobs	7	5	2.209625661076431E-5
transitionprobs	7	6	0.0
transitionprobs	7	7	0.9875541866004239
transitionprobs	7	8	2.4547120867821933E-5
transitionprobs	7	9	0.002912822697726465
transitionprobs	7	10	3.2832963256308197E-4
transitionprobs	7	11	6.733829033852955E-4
transitionprobs	7	12	0.007105386572712113
transitionprobs	8	1	0.0
transitionprobs	8	2	1.32474139779089E-4
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0
transitionprobs	8	7	1.4090329052263847E-4
transitionprobs	8	8	0.5036111076159938
transitionprobs	8	9	0.0061864066705179166
transitionprobs	8	10	0.0
transitionprobs	8	11	0.4899291082831866
transitionprobs	8	12	0.0
transitionprobs	9	1	2.0931851979597177E-8
transitionprobs	9	2	4.002742174089032E-5
transitionprobs	9	3	0.0
transitionprobs	9	4	8.040477472856471E-8
transitionprobs	9	5	7.322662516758513E-8
transitionprobs	9	6	0.0
transitionprobs	9	7	0.017165173581391014
