12	6	E	-2240636.2637838284	200
probinit	1	3.6652939339197322E-270
probinit	2	3.3788888984653163E-140
probinit	3	5.624191310051616E-116
probinit	4	1.516943118483324E-152
probinit	5	4.925620007143025E-169
probinit	6	6.896669637786731E-147
probinit	7	1.245279841887788E-260
probinit	8	0.9790363196685097
probinit	9	1.5433317519123454E-53
probinit	10	8.507027638809898E-97
probinit	11	0.0
probinit	12	0.020963680331490275
transitionprobs	1	1	8.80450115918963E-11
transitionprobs	1	2	5.877938220071345E-4
transitionprobs	1	3	0.9989985016626752
transitionprobs	1	4	5.8453958388151484E-5
transitionprobs	1	5	0.0
transitionprobs	1	6	3.3937074704083064E-4
transitionprobs	1	7	2.8618046549179E-6
transitionprobs	1	8	1.2876999881530637E-5
transitionprobs	1	9	1.4091730718683005E-7
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	2	1	5.313777752847979E-5
transitionprobs	2	2	0.8740733620255259
transitionprobs	2	3	0.049841012667038706
transitionprobs	2	4	0.0566614460809912
transitionprobs	2	5	0.010484607993612527
transitionprobs	2	6	0.005989983195237574
transitionprobs	2	7	9.881827267847039E-6
transitionprobs	2	8	4.809259954724313E-6
transitionprobs	2	9	0.002881759172843064
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.005554895166687603
transitionprobs	3	2	0.002075516197389866
transitionprobs	3	3	0.9657682434092294
transitionprobs	3	4	0.0012373208015368537
transitionprobs	3	5	0.0
transitionprobs	3	6	0.020412889310181672
transitionprobs	3	7	0.0043488829764393895
transitionprobs	3	8	1.6391119039840968E-6
transitionprobs	3	9	6.006130266312256E-4
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	2.1975744261244327E-6
transitionprobs	4	2	0.007781048749671104
transitionprobs	4	3	0.00451102563276538
transitionprobs	4	4	0.9747718668755161
transitionprobs	4	5	0.012471805909119072
transitionprobs	4	6	3.6332443157114356E-4
transitionprobs	4	7	9.873082693109326E-5
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	0.007538434777062473
transitionprobs	5	3	4.27105687772881E-8
transitionprobs	5	4	0.06952436293358458
transitionprobs	5	5	0.9229057607578119
transitionprobs	5	6	1.2861674524700924E-6
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	3.011265351972405E-5
transitionprobs	5	11	0.0
