State (Emission order)	h3k36me3	h3k4me1	h3k27ac	h3k4me3	h3k9me3	h3k27me3
1	4.8521224144809074E-4	2.0273255700887694E-4	2.2823346362637483E-5	1.4469855123813423E-4	0.0044949051426987005	0.047823178459213196
2	1.4476401352496755E-4	5.863854470356787E-5	7.69259361467357E-6	5.669823747538086E-5	0.0012962834969140516	0.0010593830017482837
3	9.100685709609421E-4	2.5038947375461155E-4	1.9453464991316586E-174	2.144655325509217E-217	0.9659417040067577	0.5911399131840304
4	2.1239427771766023E-4	4.831030405921688E-5	8.5407362810356E-6	4.8075873970700406E-5	0.013940106567618534	0.0017669076586660538
5	0.0020537609623680897	1.4987770763435644E-6	2.596423785282973E-4	8.87066807978135E-4	0.0014233282296680946	6.084374193530038E-4
6	0.021912200736681802	0.0014736704478863416	3.0937157602706574E-4	0.0012085486219455324	8.607225369392007E-4	2.4777742163791417E-4
7	0.006167032625585767	0.010290223576734567	0.0019205399983042459	0.00255218257534607	0.0014783437400460665	2.9269741261200627E-4
8	0.07052810750669103	0.1542751623733479	0.01052979215237308	0.00268170369841636	2.3358799242555672E-12	1.4777267743741108E-4
9	0.009385036349621073	0.2643993458593531	0.006147641817421639	0.01007496390077522	0.0013274432655890457	2.9716383869523444E-4
10	0.0015007762675236717	0.1690799671651179	0.005716149140969651	9.478846405129301E-4	0.002685450620847355	0.006897665630408832
11	0.013830874423175403	0.21034837268015777	0.18344058950446374	0.041849861448252576	0.0048200426321112246	0.0037684889955608807
12	0.00815751471493404	0.019801235651021272	0.017513711495914887	0.19110952829963737	0.005194527905872721	0.0034412296944078538
