State (Emission order)	h3k27me3	h3k9me3	h3k4me3	h3k27ac	h3k4me1	h3k36me3
1	5.640632011005006E-4	0.002059815131644316	0.001121302327504149	0.010107263774804113	0.15347226033398945	0.012705254610915847
2	7.495946464907056E-4	0.0030721231312276047	0.033357105548380304	0.017878107250006103	0.28218290776773697	0.05264323066204718
3	2.2759870028619905E-5	0.0013930631199873327	0.0031450411916375148	0.010618697979187314	0.18733038872053048	0.10791125201132062
4	9.877853109878798E-5	0.0011045469276812735	7.313494035433678E-4	0.005968144838555016	0.0014863839971989761	0.07711041100713141
5	0.0017976928050669372	0.0055460363017755705	2.967546285979282E-4	0.0053929717567597945	2.6488594564105192E-8	0.27379335271986704
6	7.773161350074237E-4	0.0017223005975134996	6.702579869639325E-4	0.005902472099710665	0.0012350135943722156	0.007990725052326569
7	7.343758175381879E-4	9.801561702318998E-4	3.805025096203332E-5	0.0020975680120387166	7.459023305989509E-5	4.725596288563433E-4
8	0.035916135628030685	0.004667059658550337	3.0891175475845196E-4	0.01052122500226219	6.16712475059482E-4	0.007449047267553117
9	0.1595559567274256	0.8247097032553108	3.5151439800704233E-106	0.005832292542669607	8.000809217879181E-4	0.0029188883828865256
10	0.002630948653492049	0.0202616811439452	1.4065458163540437E-5	0.0015283314803989938	6.957838403952808E-9	3.97793571972765E-4
11	0.001716131872379599	0.06297775282791458	8.12922093139517E-5	0.005277335224943309	2.918254242195166E-4	0.0028045596757196195
12	7.724103378170006E-4	0.006255542551943415	0.1521019392563237	0.02231581330332658	0.010175202387790344	0.04016734528258715
