State (Emission order)	h3k27me3	h3k9me3	h3k27ac	h3k4me1	h3k36me3	h3k4me3
1	0.0025956467912990034	1.6313700305764956E-4	0.017337493107392403	0.01581003784038694	0.009349723295287648	0.20162268355189866
2	4.891025509347513E-4	1.3962600882536398E-4	3.3450400690567233E-4	1.0779649085892387E-5	0.0020644906383206272	7.890643724431915E-4
3	1.451307083175895E-4	5.3335747517054254E-5	4.5894919872756663E-4	0.002415181058234765	0.024416014911397915	8.960525387906915E-4
4	1.4270839775207066E-4	1.1816486517875666E-4	0.0029372163292835703	0.020247388044364937	0.008711355474571214	0.0033208186459353036
5	6.584578098437542E-4	2.704263016215921E-28	0.008978909447818094	0.22369355905394564	0.016155421516996532	0.011143768953142449
6	0.0011486441576942369	1.1329063418620307E-4	0.005033591410465114	0.12025611211057861	0.0018379120715115787	9.142687573286206E-4
7	0.002748312670696958	2.702083569053263E-4	0.2036673166012604	0.118211315271809	0.013179686748626308	0.04321404517998057
8	0.045689077664412374	0.001046634641900769	0.0016664729676885833	0.011325545366056037	0.0030373717704096507	0.0027052962407372143
9	0.06811698889379769	0.0017634400765759806	7.935746616548462E-6	5.720748962404397E-5	3.2634427312215104E-4	6.627151062869225E-5
10	8.773105900664647E-4	1.841461563539893E-4	1.0460230223749732E-5	5.7610683984689293E-5	1.5498268290153617E-4	6.116010967832045E-5
11	0.003891134274126267	0.0015153285332239282	5.9899648285126745E-6	3.792907128891989E-5	1.513755277036934E-4	4.189462421570371E-5
12	0.9378336043143316	0.9602508823306314	0.0	3.781180161378031E-4	6.257968168028879E-255	6.395327058903124E-4
