12	6	E	-2680427.56682837	200
probinit	1	3.350327523666816E-210
probinit	2	4.751072692217323E-219
probinit	3	8.173291155335345E-72
probinit	4	0.9634707996530769
probinit	5	1.810806644238803E-104
probinit	6	1.0547154931083196E-263
probinit	7	0.0
probinit	8	3.0500135129320714E-201
probinit	9	2.292883105073743E-32
probinit	10	0.0
probinit	11	1.0964168835920807E-150
probinit	12	0.036529200346923155
transitionprobs	1	1	0.30822894948140434
transitionprobs	1	2	0.17161282570806943
transitionprobs	1	3	0.48987860588727966
transitionprobs	1	4	4.377304985710142E-5
transitionprobs	1	5	0.012322350797912362
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	3.6869536087461507E-4
transitionprobs	1	9	6.831906208224627E-5
transitionprobs	1	10	4.9493993850506286E-8
transitionprobs	1	11	0.017476316930634117
transitionprobs	1	12	1.1422789220607436E-7
transitionprobs	2	1	0.08040622890386268
transitionprobs	2	2	0.8370038055630521
transitionprobs	2	3	0.04122147291257186
transitionprobs	2	4	0.0
transitionprobs	2	5	0.007509108966572157
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.009081150575863974
transitionprobs	2	9	0.007025498444503922
transitionprobs	2	10	4.501011875506573E-5
transitionprobs	2	11	0.017707724514818255
transitionprobs	2	12	0.0
transitionprobs	3	1	0.012913206785927467
transitionprobs	3	2	0.0021574042314457466
transitionprobs	3	3	0.9704195002777107
transitionprobs	3	4	8.696678201243352E-6
transitionprobs	3	5	2.9722490859434344E-4
transitionprobs	3	6	0.0
transitionprobs	3	7	3.820890961482032E-5
transitionprobs	3	8	0.006719799467949272
transitionprobs	3	9	0.0013988368203113866
transitionprobs	3	10	5.402835997555451E-6
transitionprobs	3	11	0.005596373592644096
transitionprobs	3	12	4.4534549160329484E-4
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	7.254555791637984E-6
transitionprobs	4	4	0.9977855540366312
transitionprobs	4	5	0.0010554556120780205
transitionprobs	4	6	4.870664125961855E-4
transitionprobs	4	7	1.000582433744817E-4
transitionprobs	4	8	5.162795080535746E-4
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	4.83316314748473E-5
transitionprobs	4	12	0.0
transitionprobs	5	1	4.022973623549648E-4
transitionprobs	5	2	5.3526884969836E-4
transitionprobs	5	3	3.8266157411220137E-4
transitionprobs	5	4	0.0017511438491386569
transitionprobs	5	5	0.9937696476032887
transitionprobs	5	6	7.344971657189926E-4
transitionprobs	5	7	0.0019226163447795422
transitionprobs	5	8	4.1003774618685507E-4
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	9.182950472161521E-5
transitionprobs	5	12	0.0
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.46254217248613816
transitionprobs	6	5	0.440095815973869
transitionprobs	6	6	0.09166095449533965
transitionprobs	6	7	0.002100690782611389
transitionprobs	6	8	0.0010031079338504321
transitionprobs	6	9	0.0
transitionprobs	6	10	5.460805225234166E-4
transitionprobs	6	11	0.0020511778056679737
transitionprobs	6	12	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.018951259168773694
transitionprobs	7	4	0.05796635469224007
transitionprobs	7	5	0.8766900967752063
transitionprobs	7	6	8.991729038877441E-4
transitionprobs	7	7	0.014955177074567163
transitionprobs	7	8	0.02035828410051934
transitionprobs	7	9	3.386244343824123E-4
transitionprobs	7	10	8.202161938080368E-7
transitionprobs	7	11	0.009188366375482636
transitionprobs	7	12	6.518442587469197E-4
transitionprobs	8	1	8.893957178943492E-5
transitionprobs	8	2	0.007892536623418824
transitionprobs	8	3	0.10476758562555571
transitionprobs	8	4	0.010246056206656138
transitionprobs	8	5	0.007020655133781853
transitionprobs	8	6	8.274635263228902E-5
transitionprobs	8	7	5.160884003521702E-4
transitionprobs	8	8	0.8554322443559391
transitionprobs	8	9	1.1320761310867867E-4
transitionprobs	8	10	1.0249356403464951E-4
transitionprobs	8	11	0.013737446552730934
transitionprobs	8	12	0.0
transitionprobs	9	1	1.201502628680535E-4
transitionprobs	9	2	9.616995961848706E-4
transitionprobs	9	3	0.0038720442760071254
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	2.941760960464547E-5
transitionprobs	9	9	0.9752130869337485
transitionprobs	9	10	0.0010767966717585857
transitionprobs	9	11	3.2562321454762154E-6
transitionprobs	9	12	0.018723548417682746
transitionprobs	10	1	1.916760803214086E-6
transitionprobs	10	2	0.0035369520362308984
transitionprobs	10	3	0.00200357580874761
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	0.0034634884207794116
transitionprobs	10	9	0.28266196909472324
transitionprobs	10	10	0.6751311630545582
transitionprobs	10	11	0.033200718637732336
transitionprobs	10	12	2.16186424962778E-7
transitionprobs	11	1	0.004395453164954286
transitionprobs	11	2	0.012808841491422173
transitionprobs	11	3	0.07864547792795545
transitionprobs	11	4	0.0011145340746678972
transitionprobs	11	5	0.0010307145239717185
transitionprobs	11	6	7.011296660246506E-5
transitionprobs	11	7	1.8646154547464846E-4
transitionprobs	11	8	0.011669765314329231
transitionprobs	11	9	1.314274331343088E-5
transitionprobs	11	10	5.245000243289345E-4
transitionprobs	11	11	0.8894527993252627
transitionprobs	11	12	8.819689771713848E-5
transitionprobs	12	1	3.792570130909606E-5
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0027959067371657537
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	6.115262156631906E-6
transitionprobs	12	8	0.0
transitionprobs	12	9	0.04064339294993359
transitionprobs	12	10	3.4362816475146637E-7
transitionprobs	12	11	5.986832208585191E-7
transitionprobs	12	12	0.9565157170380495
emissionprobs	1	0	h3k27ac	0	0.9985376068167845
emissionprobs	1	0	h3k27ac	1	0.0014623931832154849
emissionprobs	1	1	h3k27me3	0	0.9971911671561012
emissionprobs	1	1	h3k27me3	1	0.0028088328438988157
emissionprobs	1	2	h3k36me3	0	0.9990811214989322
emissionprobs	1	2	h3k36me3	1	9.188785010677246E-4
emissionprobs	1	3	h3k4me1	0	0.9980339033268135
emissionprobs	1	3	h3k4me1	1	0.001966096673186506
emissionprobs	1	4	h3k4me3	0	0.7238096084221854
emissionprobs	1	4	h3k4me3	1	0.27619039157781455
emissionprobs	1	5	h3k9me3	0	0.998565552361157
emissionprobs	1	5	h3k9me3	1	0.0014344476388430502
emissionprobs	2	0	h3k27ac	0	0.9999694647720724
emissionprobs	2	0	h3k27ac	1	3.0535227927589676E-5
emissionprobs	2	1	h3k27me3	0	0.9901876225927639
emissionprobs	2	1	h3k27me3	1	0.009812377407236162
emissionprobs	2	2	h3k36me3	0	0.9873962670374167
emissionprobs	2	2	h3k36me3	1	0.012603732962583335
emissionprobs	2	3	h3k4me1	0	0.9934872727158081
emissionprobs	2	3	h3k4me1	1	0.006512727284191913
emissionprobs	2	4	h3k4me3	0	0.8929481548492155
emissionprobs	2	4	h3k4me3	1	0.10705184515078459
emissionprobs	2	5	h3k9me3	0	0.99848795657983
emissionprobs	2	5	h3k9me3	1	0.001512043420169948
emissionprobs	3	0	h3k27ac	0	0.9996347730388394
emissionprobs	3	0	h3k27ac	1	3.6522696116063607E-4
emissionprobs	3	1	h3k27me3	0	0.9978848383318436
emissionprobs	3	1	h3k27me3	1	0.00211516166815645
emissionprobs	3	2	h3k36me3	0	0.9975769492060402
emissionprobs	3	2	h3k36me3	1	0.0024230507939598436
emissionprobs	3	3	h3k4me1	0	0.9980932406183005
emissionprobs	3	3	h3k4me1	1	0.0019067593816994989
emissionprobs	3	4	h3k4me3	0	0.9964054456480692
emissionprobs	3	4	h3k4me3	1	0.003594554351930763
emissionprobs	3	5	h3k9me3	0	0.9992810240543822
emissionprobs	3	5	h3k9me3	1	7.18975945617828E-4
