State (Emission order)	h3k27me3	h3k9me3	h3k4me1	h3k4me3	h3k27ac	h3k36me3
1	0.10249108493023831	0.0022089123310180593	4.460963195661376E-4	0.0014552902785799782	5.9846646753206243E-5	0.005207678257782504
2	0.05047340120321066	0.013878037750052405	0.003234046463320198	0.005438098219954834	0.007582461586788014	0.008543011558149446
3	0.0018141445844133794	0.0024480210390358313	2.854762067954198E-4	7.489704194986516E-4	1.2903795859643726E-4	0.0013516708387138025
4	0.005275709492713358	0.014217603447637483	2.562130079718163E-4	9.682099090721813E-4	6.436050859397364E-5	0.002921990417988738
5	0.35710924507156006	0.9616306116341662	5.689012270446015E-4	0.001492012641208352	1.9921432869621783E-4	0.006777691783386746
6	0.005226737378737431	0.12339920160178747	8.623993690185615E-4	0.0018519056399489866	4.5093115757019816E-4	0.0030956413563574354
7	7.021779521506999E-4	0.006507352964447299	0.001573039492906132	0.006715700862650067	0.004230101145186598	0.005557704723470941
8	0.007895019116894388	0.019667709412995334	0.005620967806735139	0.18075233963263024	0.19966635251947915	0.025788600267573316
9	8.149819670460689E-4	0.008738164657881593	0.010377333445729955	0.015382883087930064	0.1826312136799181	0.015415353096770312
10	8.163332069841407E-4	0.009769104110260378	0.002347242160205983	0.008454418199163264	0.005412792779874616	0.6378914969121179
11	0.006420287552016819	0.006866744089723844	6.545541775100127E-4	0.003990762571094267	1.560312402209794E-4	0.09212919708643917
12	0.002164454312830138	0.015127732329070862	0.16432589277276846	0.018618761479701557	0.001538280940034465	0.006895704660239789
