State (Emission order)	h3k36me3	h3k27ac	h3k4me1	h3k4me3	h3k27me3	h3k9me3
1	0.0027233853683156974	2.3846942413743153E-4	0.0026887371299005778	0.034674459699385644	0.09127843688807634	0.007150094937265265
2	0.004914942784305495	0.0015089911869908025	0.0025479013741446154	0.0023097024073464754	0.06142117001762604	0.017722686770532067
3	0.0031086723103855565	1.110397020468952E-8	9.576587675379179E-4	7.818766883727054E-4	0.49458805898275343	0.1913670000257126
4	0.0015347514656159117	2.6633765392968877E-5	4.040103947332279E-4	8.091505831624822E-4	0.010740850488017178	0.006410181070914966
5	7.552428944259581E-4	4.930810332930293E-5	4.0486288155641465E-4	6.827353603727555E-4	0.001579369774271639	0.0023186304560545096
6	0.002819219378437241	1.0962396163314551E-20	5.478755545757524E-4	0.00108729631143008	5.721791614229506E-6	0.094787019433356
7	0.003744638286809267	0.0013272183787039976	0.0027751824785842557	0.003296773502781515	0.001031157963587406	0.003781096721232435
8	0.005813859192552641	3.7994592184795547E-4	0.007640533036856438	0.0048798083640802575	1.5247953473450566E-4	0.002872512566115587
9	0.02612391123772096	0.005428065970392845	0.00220145069594146	0.008189033558997196	1.2192360068502329E-4	0.008714613907459048
10	0.12129193994571967	6.528178350202383E-4	4.320252107425697E-6	6.609238682898078E-4	0.018661564995890407	0.008481349219218047
11	0.014695495771516125	0.10540968214018567	0.00869683717452173	0.01259258450714762	7.121249374540153E-4	0.007939839285469017
12	0.008482882873839344	0.139617692672297	0.006512623192747373	0.009106489454490017	0.005159153207191449	0.00835423564297221
