12	6	E	-1875526.6887321654	200
probinit	1	1.9599025813831001E-171
probinit	2	8.709231338088372E-138
probinit	3	0.032281384801984184
probinit	4	2.240960893362781E-135
probinit	5	1.3472073575920674E-156
probinit	6	0.0
probinit	7	9.496762361752223E-144
probinit	8	0.9677186151980158
probinit	9	1.6899931985469942E-190
probinit	10	1.1748208393938281E-153
probinit	11	1.7569683389431301E-270
probinit	12	0.0
transitionprobs	1	1	0.7154901293824538
transitionprobs	1	2	0.22253816136060053
transitionprobs	1	3	0.05600559440110764
transitionprobs	1	4	4.5093021513386267E-7
transitionprobs	1	5	1.2720177392479551E-5
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.005952943748230127
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	2	1	0.011097363956524949
transitionprobs	2	2	0.9668071557219683
transitionprobs	2	3	0.01579868836920348
transitionprobs	2	4	0.0033079998954794595
transitionprobs	2	5	0.0029711922379870794
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	1.7599818836831086E-5
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.004295501948841812
transitionprobs	3	2	0.03928680707173931
transitionprobs	3	3	0.9547073188786496
transitionprobs	3	4	1.3074250471138625E-8
transitionprobs	3	5	0.0017103590265188553
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	6.845550770699562E-8
transitionprobs	4	2	0.029115430782403636
transitionprobs	4	3	2.245438315718238E-8
transitionprobs	4	4	0.8435939527412271
transitionprobs	4	5	0.0032592228659564
transitionprobs	4	6	3.4682739339827713E-4
transitionprobs	4	7	0.0
transitionprobs	4	8	7.295872241593634E-6
