State (Emission order)	h3k27me3	h3k9me3	h3k4me3	h3k36me3	h3k4me1	h3k27ac
1	6.727559115826866E-11	7.138872711136677E-4	0.8708104833794605	0.0034038804370154726	0.0014484984192679093	0.0021056436227185203
2	0.002065063233941222	0.003103237192714386	0.2691191918300921	0.003886845774282646	0.004086155046776754	0.0954802783626305
3	2.3619690935109056E-4	6.088711585886224E-4	0.004185047081701756	0.0017588558632132905	8.577007430976804E-4	0.0022856000027387073
4	3.0625624623909924E-4	4.6536435021031665E-4	0.026295064072714588	0.004731214921070283	0.03213825290424386	0.027281386833332602
5	0.0014300384202866664	0.001702689179202822	0.0744228938868476	0.004629994038059083	0.10642509825259606	0.1851593686791418
6	0.0011173078625985305	0.0029109963290368662	0.01837520822865643	5.609306388151475E-4	0.011356201032724797	0.15472930434654303
7	1.0332134327211869E-4	6.1639455324665E-16	0.0025510363910290703	0.002956891957429222	1.8682844774661598E-8	0.8697121214438887
8	9.694170120857922E-4	8.665011142824466E-4	0.0015603266434664805	2.0149496104472644E-4	1.943051195142724E-5	0.002482477516067223
9	0.027937405951499652	0.004022607794736654	0.012200528094702292	0.0012747980031181552	0.0020495505841233662	0.01586873692755495
10	0.019927797331060954	0.0033514078115560735	0.0027752559261084876	3.723996259229541E-4	1.496033199069957E-5	0.002282749192958872
11	0.8852094695043996	0.8881353786237293	0.004261689951238704	0.0010967723035766447	5.71348073244281E-4	0.006059329277085527
12	0.0017287740034813734	0.03012380187181945	0.0033314930076577642	3.5079155743447963E-4	4.162297303414188E-5	0.004557181003928454
