12	6	E	-1558586.648419757	200
probinit	1	0.0
probinit	2	4.3445703916524203E-218
probinit	3	0.964147890354196
probinit	4	3.8984443924891593E-221
probinit	5	8.170636397165868E-80
probinit	6	5.268748730534361E-143
probinit	7	1.4813949847936338E-70
probinit	8	0.007081388526424246
probinit	9	1.2439691935906197E-120
probinit	10	0.028770721119379786
probinit	11	8.5109276841580565E-78
probinit	12	2.543748711478593E-147
transitionprobs	1	1	0.08416719152857349
transitionprobs	1	2	0.29550820521171306
transitionprobs	1	3	0.0
transitionprobs	1	4	0.6202283354201785
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	9.626783953483228E-5
transitionprobs	2	1	0.0015813794032230456
transitionprobs	2	2	0.9736377829916834
transitionprobs	2	3	1.2191447542614803E-4
transitionprobs	2	4	0.02460564798907504
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	5.3275140592614076E-5
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0
transitionprobs	3	2	7.320581913021093E-5
transitionprobs	3	3	0.9989423937161597
transitionprobs	3	4	6.030122670972821E-4
transitionprobs	3	5	7.728525405714503E-5
transitionprobs	3	6	1.7525726016517558E-5
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	2.059705839227003E-4
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	8.060663361641026E-5
transitionprobs	4	1	0.008425344605114326
transitionprobs	4	2	0.055575442199927994
transitionprobs	4	3	0.003741202909650023
transitionprobs	4	4	0.9310398877317838
transitionprobs	4	5	0.0
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	9.77487758640513E-4
transitionprobs	4	10	1.6806232813143877E-5
transitionprobs	4	11	0.0
transitionprobs	4	12	2.2382856207025712E-4
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	4.361199050391056E-4
transitionprobs	5	4	0.0
transitionprobs	5	5	0.9826070343215075
transitionprobs	5	6	0.0012099381409370355
transitionprobs	5	7	1.2652306308310772E-4
transitionprobs	5	8	5.037200166916814E-5
transitionprobs	5	9	0.012442945057831787
transitionprobs	5	10	1.6996198881997888E-4
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0029571055211123094
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	2.61103530514289E-4
transitionprobs	6	4	0.0
transitionprobs	6	5	0.0059481731515883245
transitionprobs	6	6	0.9864762836056613
transitionprobs	6	7	0.0
transitionprobs	6	8	0.004419282019992477
