12	6	E	-1473431.6507931014	200
probinit	1	3.432330801256207E-143
probinit	2	2.890607844211576E-56
probinit	3	1.3021825207448385E-115
probinit	4	3.528851103396127E-198
probinit	5	5.210694465145502E-285
probinit	6	1.539006178508394E-111
probinit	7	6.337002306526766E-274
probinit	8	0.03744612596056645
probinit	9	1.7968262959231185E-169
probinit	10	0.9625538740394336
probinit	11	2.4671692773474844E-141
probinit	12	0.0
transitionprobs	1	1	0.8695515077054506
transitionprobs	1	2	0.028751505905545816
transitionprobs	1	3	0.016117268520423368
transitionprobs	1	4	0.05450479418007436
transitionprobs	1	5	0.012377178491346546
transitionprobs	1	6	0.0014238367352951329
transitionprobs	1	7	0.009534189251948452
transitionprobs	1	8	0.004025532892936148
transitionprobs	1	9	0.0
transitionprobs	1	10	0.002252770466266812
transitionprobs	1	11	0.0014614158507128972
transitionprobs	1	12	0.0
transitionprobs	2	1	0.0016586461326576674
transitionprobs	2	2	0.985052016935892
transitionprobs	2	3	0.0014249065045978473
transitionprobs	2	4	4.429494996098235E-5
transitionprobs	2	5	2.917764880163477E-5
transitionprobs	2	6	0.010867352868445389
transitionprobs	2	7	1.056147050214569E-4
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	7.9744777104758E-4
transitionprobs	2	11	2.054248357541191E-5
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0037704463541499487
transitionprobs	3	2	0.005218221922463147
transitionprobs	3	3	0.9847197886622208
transitionprobs	3	4	6.738826693957914E-6
transitionprobs	3	5	0.004931899469418962
transitionprobs	3	6	5.7685152389307295E-6
transitionprobs	3	7	3.722245524360189E-5
transitionprobs	3	8	0.0012399857470544286
transitionprobs	3	9	0.0
transitionprobs	3	10	6.99280475162178E-5
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	0.010019568661927426
transitionprobs	4	2	5.490301395573858E-4
transitionprobs	4	3	9.607878589122782E-6
transitionprobs	4	4	0.932666252115634
transitionprobs	4	5	0.05030492334143468
transitionprobs	4	6	3.853701467035381E-4
transitionprobs	4	7	0.006065247716153902
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	5	1	0.005191167727101227
transitionprobs	5	2	6.120453250533519E-4
transitionprobs	5	3	0.011425595023083329
transitionprobs	5	4	0.1329161381240109
transitionprobs	5	5	0.830895873205797
transitionprobs	5	6	0.0010737176235825418
transitionprobs	5	7	0.01788546297137156
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	6	1	0.0024376294574398128
transitionprobs	6	2	0.12997104621839364
transitionprobs	6	3	2.0166369617468597E-4
transitionprobs	6	4	0.0024494239795685695
transitionprobs	6	5	0.002482873161969401
transitionprobs	6	6	0.8523236495844673
transitionprobs	6	7	0.0026529263698834983
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0
transitionprobs	6	10	0.002414441434531136
transitionprobs	6	11	0.005066346097572039
transitionprobs	6	12	0.0
transitionprobs	7	1	0.015046721274718617
transitionprobs	7	2	0.00369831977718448
transitionprobs	7	3	0.0010538152520182546
transitionprobs	7	4	0.0500704417147803
transitionprobs	7	5	0.04964038087116912
transitionprobs	7	6	0.001814951797560483
transitionprobs	7	7	0.8786753693125687
transitionprobs	7	8	0.0
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.0
transitionprobs	8	1	0.0
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.007689627082473973
transitionprobs	8	7	0.0
transitionprobs	8	8	0.9903298690325821
transitionprobs	8	9	0.001978824147099268
transitionprobs	8	10	1.6797378446472425E-6
transitionprobs	8	11	0.0
transitionprobs	8	12	0.0
transitionprobs	9	1	2.165465546222055E-5
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	2.3653212799253274E-4
transitionprobs	9	9	0.9576777837442781
transitionprobs	9	10	0.002738753685984123
transitionprobs	9	11	0.03732691255275715
transitionprobs	9	12	0.0019983632335258154
transitionprobs	10	1	2.1392995239522035E-5
transitionprobs	10	2	2.3184058495171532E-4
