12	6	E	-1447134.1017168115	200
probinit	1	0.0
probinit	2	0.962839978761729
probinit	3	1.9944585901948939E-255
probinit	4	1.9816414179641358E-217
probinit	5	1.0980193605560746E-193
probinit	6	1.1456926147843982E-144
probinit	7	1.995624816435201E-233
probinit	8	2.7963042489164E-47
probinit	9	1.1644726659905057E-120
probinit	10	5.35860366438202E-141
probinit	11	0.03716002123827104
probinit	12	1.847890854986967E-171
transitionprobs	1	1	0.9885251561894859
transitionprobs	1	2	4.731768815792117E-4
transitionprobs	1	3	1.974465920356156E-6
transitionprobs	1	4	0.010851629312756763
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	1.4806315025779265E-4
transitionprobs	2	1	0.0
transitionprobs	2	2	0.9988173848807532
transitionprobs	2	3	4.2772454961176364E-4
transitionprobs	2	4	4.4674060952998854E-4
transitionprobs	2	5	1.1215170421103858E-4
transitionprobs	2	6	1.132531392245241E-4
transitionprobs	2	7	2.0730187148211234E-5
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	4.264835520975135E-5
transitionprobs	2	11	0.0
transitionprobs	2	12	1.9366574311550896E-5
transitionprobs	3	1	2.91232099055361E-6
transitionprobs	3	2	0.008491381525324014
transitionprobs	3	3	0.8343129836020865
transitionprobs	3	4	0.15714257916193317
transitionprobs	3	5	4.1681439628998634E-5
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	8.461950036754938E-6
transitionprobs	3	12	0.0
transitionprobs	4	1	0.004158225935232798
transitionprobs	4	2	9.368939080620844E-4
transitionprobs	4	3	0.019503617199105913
transitionprobs	4	4	0.9751859880820826
transitionprobs	4	5	0.0
transitionprobs	4	6	0.0
transitionprobs	4	7	8.015128448378896E-7
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	2.143053919124556E-4
transitionprobs	4	11	0.0
transitionprobs	4	12	1.6797075934728037E-7
transitionprobs	5	1	0.0
transitionprobs	5	2	9.32925090512249E-4
transitionprobs	5	3	0.0
transitionprobs	5	4	4.842276635427628E-4
transitionprobs	5	5	0.9488855893317669
transitionprobs	5	6	0.042616343821702984
transitionprobs	5	7	0.0010396317361555671
transitionprobs	5	8	5.944931527432343E-4
transitionprobs	5	9	0.0012078849911259057
transitionprobs	5	10	0.0015121604873819547
transitionprobs	5	11	0.0014470051709900083
transitionprobs	5	12	0.0012797385540784184
transitionprobs	6	1	0.0
transitionprobs	6	2	5.680120943688023E-4
transitionprobs	6	3	0.0
transitionprobs	6	4	5.7702072034179834E-5
transitionprobs	6	5	0.002125474122394552
transitionprobs	6	6	0.9814348575800822
transitionprobs	6	7	7.309555134394343E-4
transitionprobs	6	8	4.956959591268798E-5
transitionprobs	6	9	2.0409279361877734E-4
transitionprobs	6	10	0.013249153548682953
transitionprobs	6	11	4.386272384423238E-5
transitionprobs	6	12	0.0015363199556223965
transitionprobs	7	1	0.0
transitionprobs	7	2	1.5605582793277173E-4
transitionprobs	7	3	0.0
transitionprobs	7	4	8.92333223290479E-5
transitionprobs	7	5	4.745636299812608E-4
transitionprobs	7	6	0.002881634175221667
transitionprobs	7	7	0.9877076129474572
transitionprobs	7	8	4.433206919193608E-5
transitionprobs	7	9	0.00320523558190818
transitionprobs	7	10	4.7046954745690815E-5
transitionprobs	7	11	2.78657131491618E-4
transitionprobs	7	12	0.005115628359740666
transitionprobs	8	1	0.0
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	6.000419043108379E-6
transitionprobs	8	6	2.2909998109250324E-4
transitionprobs	8	7	2.0923637777974915E-6
transitionprobs	8	8	0.9356872894370426
transitionprobs	8	9	0.046311174398582663
transitionprobs	8	10	6.439789620900103E-5
transitionprobs	8	11	0.007743179951409208
transitionprobs	8	12	0.009956765552843125
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	7.897529259236407E-4
transitionprobs	9	6	0.007586829346339062
transitionprobs	9	7	0.029780222821254605
transitionprobs	9	8	0.44147761836619576
transitionprobs	9	9	0.4845284413234731
transitionprobs	9	10	0.010467680205376423
transitionprobs	9	11	0.02430103037659583
transitionprobs	9	12	0.0010684246348415466
transitionprobs	10	1	0.0
transitionprobs	10	2	0.002416457009676272
transitionprobs	10	3	6.113052559833588E-6
transitionprobs	10	4	0.0036838983147162493
transitionprobs	10	5	0.0024692486642990618
transitionprobs	10	6	0.147275301223195
transitionprobs	10	7	5.1519594250877414E-5
transitionprobs	10	8	1.5440145491074796E-4
transitionprobs	10	9	0.003359995399215175
transitionprobs	10	10	0.8404646252456478
transitionprobs	10	11	7.599592608678798E-5
transitionprobs	10	12	4.244411544242002E-5
transitionprobs	11	1	0.0
transitionprobs	11	2	5.601146486563863E-8
transitionprobs	11	3	3.475479345336384E-4
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0024307352299579154
transitionprobs	11	6	0.002123786125803214
transitionprobs	11	7	9.436817853935171E-4
transitionprobs	11	8	0.0460652701151759
transitionprobs	11	9	0.022222707543864312
transitionprobs	11	10	4.876548639530174E-4
transitionprobs	11	11	0.9145996493562423
transitionprobs	11	12	0.010778911033611439
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0011465060076493228
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0010072507560798555
transitionprobs	12	5	0.002034239155862993
transitionprobs	12	6	0.02693568322094271
transitionprobs	12	7	0.02570887258608097
transitionprobs	12	8	0.05156806667620899
transitionprobs	12	9	5.0860529401025734E-5
transitionprobs	12	10	6.675490471023249E-4
transitionprobs	12	11	0.007652860010205152
transitionprobs	12	12	0.8832281120104666
emissionprobs	1	0	h3k27ac	0	0.9999623053441679
emissionprobs	1	0	h3k27ac	1	3.7694655832221045E-5
emissionprobs	1	1	h3k27me3	0	0.9667615875055557
emissionprobs	1	1	h3k27me3	1	0.03323841249444424
emissionprobs	1	2	h3k36me3	0	0.999728798359889
emissionprobs	1	2	h3k36me3	1	2.712016401110373E-4
emissionprobs	1	3	h3k4me1	0	0.9997776155512503
emissionprobs	1	3	h3k4me1	1	2.2238444874965343E-4
emissionprobs	1	4	h3k4me3	0	0.9999102739212289
emissionprobs	1	4	h3k4me3	1	8.972607877114904E-5
emissionprobs	1	5	h3k9me3	0	0.9723480999717851
emissionprobs	1	5	h3k9me3	1	0.02765190002821489
emissionprobs	2	0	h3k27ac	0	0.9999955191940293
emissionprobs	2	0	h3k27ac	1	4.480805970786131E-6
emissionprobs	2	1	h3k27me3	0	0.9994155016033298
emissionprobs	2	1	h3k27me3	1	5.844983966702322E-4
emissionprobs	2	2	h3k36me3	0	0.9998991129910724
emissionprobs	2	2	h3k36me3	1	1.0088700892758171E-4
emissionprobs	2	3	h3k4me1	0	0.9999431059236931
emissionprobs	2	3	h3k4me1	1	5.689407630689952E-5
emissionprobs	2	4	h3k4me3	0	0.999956719581074
emissionprobs	2	4	h3k4me3	1	4.3280418926016326E-5
emissionprobs	2	5	h3k9me3	0	0.9984685828388713
emissionprobs	2	5	h3k9me3	1	0.001531417161128671
emissionprobs	3	0	h3k27ac	0	0.9999984915572876
emissionprobs	3	0	h3k27ac	1	1.508442712366754E-6
emissionprobs	3	1	h3k27me3	0	0.9951375886153581
emissionprobs	3	1	h3k27me3	1	0.004862411384642043
emissionprobs	3	2	h3k36me3	0	0.9998126134361042
emissionprobs	3	2	h3k36me3	1	1.8738656389586284E-4
emissionprobs	3	3	h3k4me1	0	0.9999349076173853
emissionprobs	3	3	h3k4me1	1	6.509238261471963E-5
emissionprobs	3	4	h3k4me3	0	0.9999546432742492
emissionprobs	3	4	h3k4me3	1	4.535672575071742E-5
emissionprobs	3	5	h3k9me3	0	0.8659546416741832
emissionprobs	3	5	h3k9me3	1	0.13404535832581668
emissionprobs	4	0	h3k27ac	0	0.999994696053201
emissionprobs	4	0	h3k27ac	1	5.3039467990465396E-6
emissionprobs	4	1	h3k27me3	0	0.9996851346601574
emissionprobs	4	1	h3k27me3	1	3.1486533984247437E-4
emissionprobs	4	2	h3k36me3	0	0.9998740369356728
emissionprobs	4	2	h3k36me3	1	1.2596306432717741E-4
emissionprobs	4	3	h3k4me1	0	0.9999523926115128
emissionprobs	4	3	h3k4me1	1	4.7607388487256734E-5
emissionprobs	4	4	h3k4me3	0	0.9999617061643663
emissionprobs	4	4	h3k4me3	1	3.829383563357571E-5
emissionprobs	4	5	h3k9me3	0	0.9873264341990434
