12	6	E	-4364909.638343936	200
probinit	1	1.5514885474916332E-302
probinit	2	0.0
probinit	3	0.0
probinit	4	0.012946837994735267
probinit	5	0.008346258617747827
probinit	6	1.508042317023117E-57
probinit	7	1.483308798123867E-38
probinit	8	0.0
probinit	9	0.0
probinit	10	3.288315954663276E-101
probinit	11	7.087501610161358E-32
probinit	12	0.9787069033875169
transitionprobs	1	1	0.5110903947511434
transitionprobs	1	2	0.042162572064641336
transitionprobs	1	3	0.0020092908037367425
transitionprobs	1	4	0.002493189231825986
transitionprobs	1	5	0.02250095439823576
transitionprobs	1	6	0.21017317026475066
transitionprobs	1	7	0.09275979995158531
transitionprobs	1	8	0.02397898148788104
transitionprobs	1	9	0.08087188878114608
transitionprobs	1	10	0.001391587049780596
transitionprobs	1	11	0.0028054302335563984
transitionprobs	1	12	0.007762740981716829
transitionprobs	2	1	0.04440707422469439
transitionprobs	2	2	0.7399044770692407
transitionprobs	2	3	0.021662846157285306
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0572339162403788
transitionprobs	2	6	2.2169701032047267E-4
transitionprobs	2	7	0.0
transitionprobs	2	8	0.13145721820746822
transitionprobs	2	9	0.005112771090612111
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0020771463415843942
transitionprobs	3	2	0.01820775386399277
transitionprobs	3	3	0.8541450037126324
transitionprobs	3	4	0.05130737488612726
transitionprobs	3	5	0.055448951379552615
transitionprobs	3	6	0.0024845495066209266
transitionprobs	3	7	0.0
transitionprobs	3	8	0.016329220309489596
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	4	1	0.001238655621805593
transitionprobs	4	2	0.0
transitionprobs	4	3	0.03989172711358645
transitionprobs	4	4	0.8815410209323465
transitionprobs	4	5	0.0
transitionprobs	4	6	0.017323683711388316
transitionprobs	4	7	0.033662123890881475
transitionprobs	4	8	0.0015551517936072882
transitionprobs	4	9	0.0047029755243573395
transitionprobs	4	10	0.014705326926624029
transitionprobs	4	11	0.005379334485402873
transitionprobs	4	12	0.0
transitionprobs	5	1	0.010508176088195188
transitionprobs	5	2	0.02146189021190539
transitionprobs	5	3	0.030229937298520238
transitionprobs	5	4	1.1153631899603933E-8
transitionprobs	5	5	0.755703326237655
transitionprobs	5	6	0.16071628053756698
transitionprobs	5	7	0.0
transitionprobs	5	8	0.021375198010957146
transitionprobs	5	9	5.180461568083112E-6
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	6	1	0.03815417976051441
transitionprobs	6	2	7.0376843604169244E-6
transitionprobs	6	3	8.451063394570799E-4
transitionprobs	6	4	0.004550153984791128
transitionprobs	6	5	0.06506618385043239
transitionprobs	6	6	0.8222233109301597
transitionprobs	6	7	0.05069669747869158
transitionprobs	6	8	0.005166922754105158
transitionprobs	6	9	0.010596684852884184
transitionprobs	6	10	0.0015557414639383095
transitionprobs	6	11	2.3972936523579627E-4
transitionprobs	6	12	8.982515354299576E-4
transitionprobs	7	1	0.0059957417500750955
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0034501304333735628
transitionprobs	7	5	0.0
transitionprobs	7	6	0.018707561803223086
transitionprobs	7	7	0.9545493485875486
transitionprobs	7	8	0.0
transitionprobs	7	9	0.005359697141055119
transitionprobs	7	10	0.0018859231852594166
transitionprobs	7	11	0.0026942194924705985
transitionprobs	7	12	0.007357377606994579
transitionprobs	8	1	0.010147963080086567
transitionprobs	8	2	0.061247921757510586
transitionprobs	8	3	0.00992846246641015
transitionprobs	8	4	0.0014625587185070215
transitionprobs	8	5	0.022772723746115792
transitionprobs	8	6	0.01594751765359665
transitionprobs	8	7	0.0
transitionprobs	8	8	0.8199841888540935
transitionprobs	8	9	0.05850866372367971
transitionprobs	8	10	0.0
transitionprobs	8	11	0.0
transitionprobs	8	12	0.0
transitionprobs	9	1	0.02320467122209623
transitionprobs	9	2	6.191036581216481E-4
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0019315572535619277
transitionprobs	9	5	2.0113563895418834E-6
transitionprobs	9	6	0.017984055729887885
transitionprobs	9	7	0.024655718124904313
transitionprobs	9	8	0.03642049261916055
transitionprobs	9	9	0.8946870163125352
transitionprobs	9	10	2.4860764279610554E-4
transitionprobs	9	11	2.4137107838812264E-4
transitionprobs	9	12	5.395002158466899E-6
transitionprobs	10	1	3.5226030151718895E-4
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.004003549537791822
transitionprobs	10	5	0.0
transitionprobs	10	6	0.001455647325789048
transitionprobs	10	7	0.005348124099142924
transitionprobs	10	8	0.0
transitionprobs	10	9	1.351537793521528E-4
transitionprobs	10	10	0.925943815608287
transitionprobs	10	11	0.06276144934811997
transitionprobs	10	12	0.0
transitionprobs	11	1	1.2084666804452302E-4
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	5.846798136853185E-4
transitionprobs	11	5	0.0
transitionprobs	11	6	1.9334006257339104E-5
transitionprobs	11	7	0.002934676486415538
transitionprobs	11	8	0.0
transitionprobs	11	9	3.902258608582852E-5
transitionprobs	11	10	0.02251518168424576
transitionprobs	11	11	0.9665416139390023
transitionprobs	11	12	0.0072446448162633795
transitionprobs	12	1	1.5389833209076298E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
