oligodT_barcode	sampleName	group	stage
33	CP23003821.scRNA.lib23020_combined_cell33	non-targeting	blastocyst
34	CP23003821.scRNA.lib23020_combined_cell34	non-targeting	blastocyst
35	CP23003821.scRNA.lib23020_combined_cell35	non-targeting	blastocyst
36	CP23003821.scRNA.lib23020_combined_cell36	non-targeting	blastocyst
37	CP23003821.scRNA.lib23020_combined_cell37	non-targeting	blastocyst
38	CP23003821.scRNA.lib23020_combined_cell38	non-targeting	blastocyst
39	CP23003821.scRNA.lib23020_combined_cell39	non-targeting	blastocyst
40	CP23003821.scRNA.lib23020_combined_cell40	non-targeting	blastocyst
41	CP23003821.scRNA.lib23020_combined_cell41	non-targeting	blastocyst
42	CP23003821.scRNA.lib23020_combined_cell42	non-targeting	blastocyst
43	CP23003821.scRNA.lib23020_combined_cell43	non-targeting	blastocyst
44	CP23003821.scRNA.lib23020_combined_cell44	non-targeting	blastocyst
45	CP23003821.scRNA.lib23020_combined_cell45	non-targeting	blastocyst
46	CP23003821.scRNA.lib23020_combined_cell46	non-targeting	blastocyst
47	CP23003821.scRNA.lib23020_combined_cell47	non-targeting	blastocyst
48	CP23003821.scRNA.lib23020_combined_cell48	non-targeting	blastocyst
49	CP23003821.scRNA.lib23020_combined_cell49	HNF4A	blastocyst
50	CP23003821.scRNA.lib23020_combined_cell50	HNF4A	blastocyst
51	CP23003821.scRNA.lib23020_combined_cell51	HNF4A	blastocyst
52	CP23003821.scRNA.lib23020_combined_cell52	HNF4A	blastocyst
53	CP23003821.scRNA.lib23020_combined_cell53	HNF4A	blastocyst
54	CP23003821.scRNA.lib23020_combined_cell54	HNF4A	blastocyst
55	CP23003821.scRNA.lib23020_combined_cell55	HNF4A	blastocyst
56	CP23003821.scRNA.lib23020_combined_cell56	HNF4A	blastocyst
57	CP23003821.scRNA.lib23020_combined_cell57	HNF4A	blastocyst
58	CP23003821.scRNA.lib23020_combined_cell58	HNF4A	blastocyst
59	CP23003821.scRNA.lib23020_combined_cell59	HNF4A	blastocyst
60	CP23003821.scRNA.lib23020_combined_cell60	HNF4A	blastocyst
61	CP23003821.scRNA.lib23020_combined_cell61	HNF4A	blastocyst
62	CP23003821.scRNA.lib23020_combined_cell62	HNF4A	blastocyst
63	CP23003821.scRNA.lib23020_combined_cell63	HNF4A	blastocyst
64	CP23003821.scRNA.lib23020_combined_cell64	HNF4A	blastocyst
65	CP23003821.scRNA.lib23020_combined_cell65	HNF4A	blastocyst
66	CP23003821.scRNA.lib23020_combined_cell66	HNF4A	blastocyst
67	CP23003821.scRNA.lib23020_combined_cell67	HNF4A	blastocyst
68	CP23003821.scRNA.lib23020_combined_cell68	KLF6	blastocyst
72	CP23003821.scRNA.lib23020_combined_cell72	KLF6	blastocyst
73	CP23003821.scRNA.lib23020_combined_cell73	KLF6	blastocyst
75	CP23003821.scRNA.lib23020_combined_cell75	KLF6	blastocyst
77	CP23003821.scRNA.lib23020_combined_cell77	KLF6	blastocyst
79	CP23003821.scRNA.lib23020_combined_cell79	KLF6	blastocyst
80	CP23003821.scRNA.lib23020_combined_cell80	KLF6	blastocyst
81	CP23003821.scRNA.lib23020_combined_cell81	KLF6	blastocyst
82	CP23003821.scRNA.lib23020_combined_cell82	KLF6	blastocyst
83	CP23003821.scRNA.lib23020_combined_cell83	KLF6	blastocyst
84	CP23003821.scRNA.lib23020_combined_cell84	HIF1A	blastocyst
85	CP23003821.scRNA.lib23020_combined_cell85	HIF1A	blastocyst
86	CP23003821.scRNA.lib23020_combined_cell86	HIF1A	blastocyst
87	CP23003821.scRNA.lib23020_combined_cell87	HIF1A	blastocyst
88	CP23003821.scRNA.lib23020_combined_cell88	HIF1A	blastocyst
89	CP23003821.scRNA.lib23020_combined_cell89	HIF1A	blastocyst
90	CP23003821.scRNA.lib23020_combined_cell90	HIF1A	blastocyst
91	CP23003821.scRNA.lib23020_combined_cell91	HIF1A	blastocyst
92	CP23003821.scRNA.lib23020_combined_cell92	HIF1A	blastocyst
93	CP23003821.scRNA.lib23020_combined_cell93	HIF1A	blastocyst
94	CP23003821.scRNA.lib23020_combined_cell94	HIF1A	blastocyst
95	CP23003821.scRNA.lib23020_combined_cell95	HIF1A	blastocyst
96	CP23003821.scRNA.lib23020_combined_cell96	HIF1A	blastocyst
57	CP24000144.RNA_250.Elf5_siRNA_combined_cell57	ELF5	blastocyst
58	CP24000144.RNA_250.Elf5_siRNA_combined_cell58	ELF5	blastocyst
59	CP24000144.RNA_250.Elf5_siRNA_combined_cell59	ELF5	blastocyst
60	CP24000144.RNA_250.Elf5_siRNA_combined_cell60	ELF5	blastocyst
61	CP24000144.RNA_250.Elf5_siRNA_combined_cell61	ELF5	blastocyst
62	CP24000144.RNA_250.Elf5_siRNA_combined_cell62	ELF5	blastocyst
63	CP24000144.RNA_250.Elf5_siRNA_combined_cell63	ELF5	blastocyst
64	CP24000144.RNA_250.Elf5_siRNA_combined_cell64	ELF5	blastocyst
65	CP24000144.RNA_250.Elf5_siRNA_combined_cell65	ELF5	blastocyst
66	CP24000144.RNA_250.Elf5_siRNA_combined_cell66	ELF5	blastocyst
67	CP24000144.RNA_250.Elf5_siRNA_combined_cell67	ELF5	blastocyst
68	CP24000144.RNA_250.Elf5_siRNA_combined_cell68	ELF5	blastocyst
69	CP24000144.RNA_250.Elf5_siRNA_combined_cell69	ELF5	blastocyst
70	CP24000144.RNA_250.Elf5_siRNA_combined_cell70	ELF5	blastocyst
71	CP24000144.RNA_250.Elf5_siRNA_combined_cell71	ELF5	blastocyst
72	CP24000144.RNA_250.Elf5_siRNA_combined_cell72	ELF5	blastocyst
73	CP24000144.RNA_250.Elf5_siRNA_combined_cell73	ELF5	blastocyst
74	CP24000144.RNA_250.Elf5_siRNA_combined_cell74	ELF5	blastocyst
75	CP24000144.RNA_250.Elf5_siRNA_combined_cell75	ELF5	blastocyst
76	CP24000144.RNA_250.Elf5_siRNA_combined_cell76	ELF5	blastocyst
77	CP24000144.RNA_250.Elf5_siRNA_combined_cell77	ELF5	blastocyst
